"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-APP/IPS-SPREADS-2-4-APP.nlogo"
"APP-A"
"02/25/2021 10:17:03:905 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","0","200"
"[run number]","path-to-input","sanitation-fellingA","sanitation-fellingB","[step]","nhost","ncut1","ncut2","nadj","nnlp"
"5","input/A/","0","0","34172","40","0","0","6","34"
"7","input/A/","0","0","30813","46","0","0","11","35"
"9","input/A/","0","0","32614","39","0","0","5","34"
"8","input/A/","0","0","34029","46","0","0","10","36"
"2","input/A/","0","0","32667","47","0","0","12","35"
"3","input/A/","0","0","34013","44","0","0","7","37"
"6","input/A/","0","0","33432","40","0","0","3","37"
"4","input/A/","0","0","33752","55","0","0","18","37"
"1","input/A/","0","0","34016","43","0","0","7","36"
"10","input/A/","0","0","34052","43","0","0","7","36"
"12","input/A/","0","0","33144","40","0","0","2","38"
"11","input/A/","0","0","33942","42","0","0","7","35"
"15","input/A/","0","0","33389","42","0","0","6","36"
"16","input/A/","0","0","33601","45","0","0","5","40"
"14","input/A/","0","0","33207","48","0","0","11","37"
"19","input/A/","0","0","33578","42","0","0","6","36"
"13","input/A/","0","0","32993","44","0","0","4","40"
"18","input/A/","0","0","33974","45","0","0","5","40"
"17","input/A/","0","0","33630","47","0","0","10","37"
"20","input/A/","0","0","32927","50","0","0","11","39"
"22","input/A/","0","0","33605","47","0","0","11","36"
"21","input/A/","0","0","33349","42","0","0","5","37"
"23","input/A/","0","0","33800","50","0","0","13","37"
"24","input/A/","0","0","32851","41","0","0","3","38"
"25","input/A/","0","0","33029","51","0","0","12","39"
"29","input/A/","0","0","33942","38","0","0","3","35"
"28","input/A/","0","0","33203","44","0","0","7","37"
"27","input/A/","0","0","33566","44","0","0","8","36"
"26","input/A/","0","0","33573","50","0","0","12","38"
"30","input/A/","0","0","33923","41","0","0","4","37"
"31","input/A/","0","0","33764","40","0","0","4","36"
"34","input/A/","0","0","33998","36","0","0","2","34"
"32","input/A/","0","0","33178","40","0","0","4","36"
"33","input/A/","0","0","32945","51","0","0","15","36"
"35","input/A/","0","0","33416","42","0","0","5","37"
"36","input/A/","0","0","34063","44","0","0","8","36"
"37","input/A/","0","0","34017","40","0","0","4","36"
"38","input/A/","0","0","33427","44","0","0","8","36"
"39","input/A/","0","0","32460","42","0","0","4","38"
"40","input/A/","0","0","33413","50","0","0","10","40"
"41","input/A/","0","25","33649","40","0","2","2","38"
"42","input/A/","0","25","33162","40","0","1","2","38"
"43","input/A/","0","25","33178","35","0","1","1","34"
"45","input/A/","0","25","33477","39","0","1","3","36"
"46","input/A/","0","25","33408","38","0","1","2","36"
"44","input/A/","0","25","34037","44","0","2","5","39"
"47","input/A/","0","25","33404","39","0","1","1","38"
"48","input/A/","0","25","33174","38","0","1","2","36"
"49","input/A/","0","25","34003","37","0","1","2","35"
"50","input/A/","0","25","32902","40","0","1","1","39"
"51","input/A/","0","25","33610","38","0","2","3","35"
"52","input/A/","0","25","33189","43","0","2","5","38"
"53","input/A/","0","25","33807","43","0","2","5","38"
"55","input/A/","0","25","33402","42","0","2","5","37"
"54","input/A/","0","25","33966","38","0","0","2","36"
"56","input/A/","0","25","33224","41","0","2","5","36"
"57","input/A/","0","25","32998","41","0","0","2","39"
"58","input/A/","0","25","32460","38","0","1","3","35"
"59","input/A/","0","25","33857","43","0","2","4","39"
"60","input/A/","0","25","33872","42","0","2","4","38"
"61","input/A/","0","25","33373","38","0","1","1","37"
"64","input/A/","0","25","33824","34","0","1","2","32"
"62","input/A/","0","25","34017","39","0","1","2","37"
"63","input/A/","0","25","33593","40","0","2","4","36"
"66","input/A/","0","25","33998","39","0","2","4","35"
"65","input/A/","0","25","33780","40","0","1","2","38"
"69","input/A/","0","25","31623","34","0","1","1","33"
"67","input/A/","0","25","33760","44","0","2","6","38"
"68","input/A/","0","25","33220","40","0","1","2","38"
"70","input/A/","0","25","33367","42","0","0","2","40"
