"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-APP/IPS-SPREADS-2-4-APP.nlogo"
"APP-B"
"02/25/2021 10:17:01:588 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","0","200"
"[run number]","path-to-input","sanitation-fellingA","sanitation-fellingB","[step]","nhost","ncut1","ncut2","nadj","nnlp"
"3","input/B/","0","0","33988","150","0","0","18","132"
"10","input/B/","0","0","33814","151","0","0","20","131"
"2","input/B/","0","0","34010","151","0","0","19","132"
"9","input/B/","0","0","33997","148","0","0","17","131"
"6","input/B/","0","0","33646","151","0","0","20","131"
"7","input/B/","0","0","33793","150","0","0","18","132"
"1","input/B/","0","0","33757","150","0","0","17","133"
"4","input/B/","0","0","33914","153","0","0","21","132"
"5","input/B/","0","0","34021","151","0","0","18","133"
"8","input/B/","0","0","33934","151","0","0","19","132"
"11","input/B/","0","0","34009","148","0","0","17","131"
"15","input/B/","0","0","33851","151","0","0","19","132"
"16","input/B/","0","0","34050","149","0","0","17","132"
"12","input/B/","0","0","34052","149","0","0","18","131"
"13","input/B/","0","0","33828","151","0","0","19","132"
"17","input/B/","0","0","34017","149","0","0","17","132"
"18","input/B/","0","0","34004","153","0","0","20","133"
"14","input/B/","0","0","33815","149","0","0","17","132"
"21","input/B/","0","0","33937","148","0","0","17","131"
"20","input/B/","0","0","33787","151","0","0","17","134"
"23","input/B/","0","0","33973","148","0","0","17","131"
"22","input/B/","0","0","34021","153","0","0","20","133"
"19","input/B/","0","0","33963","150","0","0","18","132"
"24","input/B/","0","0","33960","157","0","0","22","135"
"25","input/B/","0","0","33812","149","0","0","18","131"
"26","input/B/","0","0","34007","151","0","0","19","132"
"28","input/B/","0","0","33992","150","0","0","17","133"
"27","input/B/","0","0","33982","153","0","0","20","133"
"29","input/B/","0","0","33971","149","0","0","16","133"
"32","input/B/","0","0","34006","150","0","0","19","131"
"31","input/B/","0","0","33997","152","0","0","18","134"
"36","input/B/","0","0","33919","151","0","0","18","133"
"30","input/B/","0","0","33969","149","0","0","17","132"
"34","input/B/","0","0","33961","148","0","0","17","131"
"35","input/B/","0","0","33986","149","0","0","17","132"
"37","input/B/","0","0","33838","149","0","0","17","132"
"38","input/B/","0","0","33935","147","0","0","16","131"
"39","input/B/","0","0","33952","149","0","0","17","132"
"33","input/B/","0","0","33716","150","0","0","18","132"
"40","input/B/","0","0","33962","151","0","0","19","132"
"41","input/B/","0","25","33997","147","0","5","13","134"
"42","input/B/","0","25","34005","146","0","5","13","133"
"46","input/B/","0","25","33988","147","0","5","13","134"
"43","input/B/","0","25","33967","150","0","5","16","134"
"45","input/B/","0","25","34052","146","0","4","13","133"
"48","input/B/","0","25","33873","145","0","5","13","132"
"44","input/B/","0","25","33765","147","0","4","13","134"
"50","input/B/","0","25","34011","144","0","4","13","131"
"51","input/B/","0","25","33934","146","0","5","15","131"
"52","input/B/","0","25","33934","145","0","5","13","132"
"47","input/B/","0","25","34021","145","0","4","13","132"
"49","input/B/","0","25","33808","149","0","5","16","133"
"55","input/B/","0","25","33947","144","0","4","12","132"
"56","input/B/","0","25","33963","144","0","4","13","131"
"57","input/B/","0","25","34015","144","0","4","13","131"
"58","input/B/","0","25","33943","146","0","5","14","132"
"59","input/B/","0","25","33734","145","0","4","13","132"
"60","input/B/","0","25","33787","142","0","4","12","130"
"61","input/B/","0","25","33950","146","0","4","12","134"
"54","input/B/","0","25","33953","150","0","5","16","134"
"53","input/B/","0","25","33963","147","0","5","14","133"
"63","input/B/","0","25","33950","144","0","4","12","132"
"64","input/B/","0","25","33774","145","0","4","13","132"
"66","input/B/","0","25","33997","146","0","4","13","133"
"65","input/B/","0","25","33961","146","0","5","13","133"
"67","input/B/","0","25","33945","146","0","5","15","131"
"68","input/B/","0","25","33945","145","0","4","13","132"
"62","input/B/","0","25","33954","145","0","4","13","132"
"70","input/B/","0","25","33944","144","0","4","13","131"
"72","input/B/","0","25","33975","149","0","5","15","134"
"73","input/B/","0","25","33974","144","0","4","12","132"
"74","input/B/","0","25","33956","148","0","5","14","134"
"75","input/B/","0","25","33974","145","0","5","16","129"
"76","input/B/","0","25","33986","145","0","4","13","132"
"77","input/B/","0","25","34022","148","0","5","15","133"
"69","input/B/","0","25","33827","147","0","4","13","134"
"71","input/B/","0","25","33916","144","0","5","13","131"
"79","input/B/","0","25","33988","145","0","5","13","132"
"81","input/B/","0","50","33825","140","0","9","8","132"
"80","input/B/","0","25","33990","146","0","4","13","133"
"78","input/B/","0","25","33956","146","0","4","13","133"
"82","input/B/","0","50","34023","141","0","9","8","133"
"84","input/B/","0","50","34003","141","0","9","9","132"
"85","input/B/","0","50","33988","140","0","10","8","132"
"83","input/B/","0","50","33826","138","0","9","8","130"
"87","input/B/","0","50","33945","139","0","9","8","131"
"89","input/B/","0","50","33598","138","0","9","8","130"
"90","input/B/","0","50","33842","140","0","9","8","132"
"88","input/B/","0","50","34016","141","0","9","8","133"
"91","input/B/","0","50","33937","142","0","9","8","134"
"92","input/B/","0","50","33944","140","0","9","8","132"
"86","input/B/","0","50","33936","141","0","10","8","133"
"94","input/B/","0","50","33950","141","0","9","9","132"
"96","input/B/","0","50","33827","139","0","9","8","131"
"93","input/B/","0","50","33975","139","0","8","8","131"
"97","input/B/","0","50","33993","141","0","10","9","132"
"99","input/B/","0","50","33853","143","0","9","9","134"
"100","input/B/","0","50","33936","143","0","10","9","134"
"98","input/B/","0","50","33949","140","0","10","8","132"
"102","input/B/","0","50","33974","142","0","9","9","133"
"101","input/B/","0","50","33820","141","0","9","8","133"
"95","input/B/","0","50","33783","138","0","9","7","131"
"103","input/B/","0","50","33906","141","0","9","9","132"
"104","input/B/","0","50","33999","138","0","9","8","130"
"107","input/B/","0","50","33807","140","0","8","8","132"
"106","input/B/","0","50","33943","141","0","11","10","131"
"109","input/B/","0","50","33937","140","0","9","8","132"
"110","input/B/","0","50","34074","141","0","9","8","133"
"111","input/B/","0","50","33968","139","0","9","7","132"
"113","input/B/","0","50","34002","141","0","9","9","132"
"105","input/B/","0","50","33983","141","0","10","9","132"
"112","input/B/","0","50","33895","140","0","9","8","132"
"108","input/B/","0","50","33962","138","0","9","7","131"
"116","input/B/","0","50","33977","141","0","9","8","133"
"117","input/B/","0","50","33968","140","0","9","9","131"
"120","input/B/","0","50","34011","140","0","10","8","132"
"119","input/B/","0","50","34081","143","0","10","9","134"
"118","input/B/","0","50","34035","142","0","10","9","133"
"121","input/B/","0","75","33940","136","0","14","4","132"
"114","input/B/","0","50","33968","141","0","9","8","133"
"122","input/B/","0","75","34175","136","0","14","4","132"
"115","input/B/","0","50","33770","143","0","10","10","133"
"124","input/B/","0","75","34017","136","0","13","4","132"
"126","input/B/","0","75","33964","136","0","13","4","132"
"125","input/B/","0","75","33781","137","0","14","4","133"
"129","input/B/","0","75","33799","134","0","14","5","129"
"128","input/B/","0","75","34016","138","0","15","4","134"
"130","input/B/","0","75","33979","136","0","13","4","132"
"131","input/B/","0","75","33738","136","0","14","4","132"
"123","input/B/","0","75","33950","138","0","12","4","134"
"127","input/B/","0","75","34043","135","0","13","4","131"
"134","input/B/","0","75","33973","136","0","14","4","132"
"133","input/B/","0","75","33970","135","0","13","4","131"
"135","input/B/","0","75","33825","137","0","14","4","133"
"136","input/B/","0","75","33999","136","0","14","4","132"
"137","input/B/","0","75","33837","136","0","13","4","132"
"139","input/B/","0","75","33793","134","0","14","4","130"
"138","input/B/","0","75","33802","136","0","14","5","131"
"132","input/B/","0","75","33976","137","0","13","4","133"
"142","input/B/","0","75","33960","135","0","13","4","131"
"143","input/B/","0","75","33761","136","0","13","4","132"
"144","input/B/","0","75","33771","135","0","12","4","131"
"145","input/B/","0","75","33934","137","0","14","4","133"
"140","input/B/","0","75","33938","136","0","14","4","132"
"146","input/B/","0","75","34006","135","0","14","4","131"
"141","input/B/","0","75","33801","136","0","14","4","132"
"147","input/B/","0","75","33989","137","0","13","4","133"
"148","input/B/","0","75","34039","138","0","14","5","133"
"151","input/B/","0","75","34027","137","0","13","4","133"
"152","input/B/","0","75","34004","138","0","12","4","134"
"153","input/B/","0","75","33985","137","0","13","4","133"
"155","input/B/","0","75","33965","137","0","11","4","133"
"157","input/B/","0","75","34009","137","0","12","4","133"
"156","input/B/","0","75","33826","138","0","14","4","134"
"149","input/B/","0","75","33773","135","0","13","4","131"
"150","input/B/","0","75","33765","135","0","14","4","131"
"158","input/B/","0","75","33974","136","0","12","4","132"
"159","input/B/","0","75","33960","134","0","11","4","130"
"154","input/B/","0","75","34024","137","0","15","5","132"
"160","input/B/","0","75","33846","134","0","13","4","130"
"161","input/B/","0","100","33963","131","0","17","0","131"
"162","input/B/","0","100","33990","132","0","15","0","132"
"163","input/B/","0","100","33942","132","0","17","0","132"
"164","input/B/","0","100","33915","132","0","17","0","132"
"167","input/B/","0","100","33741","132","0","19","0","132"
"170","input/B/","0","100","33975","131","0","18","0","131"
"168","input/B/","0","100","33923","132","0","19","0","132"
"171","input/B/","0","100","33779","132","0","17","0","132"
"169","input/B/","0","100","33764","134","0","17","0","134"
"172","input/B/","0","100","33914","132","0","18","0","132"
"165","input/B/","0","100","33748","132","0","17","0","132"
