"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-APP/IPS-SPREADS-2-4-APP.nlogo"
"APP-C"
"02/25/2021 10:17:02:257 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","0","200"
"[run number]","path-to-input","sanitation-fellingA","sanitation-fellingB","[step]","nhost","ncut1","ncut2","nadj","nnlp"
"7","input/C/","0","0","34633","148","0","0","76","72"
"5","input/C/","0","0","34133","141","0","0","72","69"
"10","input/C/","0","0","34195","143","0","0","73","70"
"3","input/C/","0","0","34352","143","0","0","71","72"
"2","input/C/","0","0","34218","139","0","0","70","69"
"8","input/C/","0","0","34166","144","0","0","73","71"
"1","input/C/","0","0","34584","143","0","0","74","69"
"4","input/C/","0","0","34769","144","0","0","74","70"
"6","input/C/","0","0","34196","147","0","0","75","72"
"9","input/C/","0","0","34360","147","0","0","76","71"
"11","input/C/","0","0","33980","147","0","0","75","72"
"12","input/C/","0","0","34449","147","0","0","75","72"
"15","input/C/","0","0","34394","145","0","0","75","70"
"16","input/C/","0","0","34303","146","0","0","76","70"
"14","input/C/","0","0","34743","143","0","0","71","72"
"19","input/C/","0","0","34329","137","0","0","69","68"
"13","input/C/","0","0","34194","142","0","0","71","71"
"17","input/C/","0","0","34677","139","0","0","68","71"
"18","input/C/","0","0","34833","142","0","0","70","72"
"20","input/C/","0","0","34727","148","0","0","77","71"
"21","input/C/","0","0","34378","146","0","0","75","71"
"23","input/C/","0","0","34558","144","0","0","72","72"
"22","input/C/","0","0","34637","150","0","0","78","72"
"24","input/C/","0","0","34836","142","0","0","71","71"
"26","input/C/","0","0","34600","142","0","0","71","71"
"27","input/C/","0","0","34648","141","0","0","72","69"
"29","input/C/","0","0","34566","139","0","0","72","67"
"25","input/C/","0","0","34679","148","0","0","78","70"
"28","input/C/","0","0","34223","147","0","0","75","72"
"30","input/C/","0","0","34443","153","0","0","81","72"
"31","input/C/","0","0","34198","143","0","0","74","69"
"32","input/C/","0","0","34569","140","0","0","72","68"
"33","input/C/","0","0","34772","145","0","0","74","71"
"40","input/C/","0","0","34433","144","0","0","74","70"
"35","input/C/","0","0","34707","142","0","0","73","69"
"34","input/C/","0","0","34570","142","0","0","72","70"
"39","input/C/","0","0","34776","136","0","0","68","68"
"37","input/C/","0","0","34336","147","0","0","76","71"
"38","input/C/","0","0","34774","148","0","0","75","73"
"36","input/C/","0","0","34223","151","0","0","81","70"
"41","input/C/","0","25","34744","116","0","16","44","72"
"43","input/C/","0","25","34555","117","0","16","48","69"
"42","input/C/","0","25","34187","113","0","16","45","68"
"44","input/C/","0","25","34405","113","0","14","44","69"
"45","input/C/","0","25","33921","119","0","18","51","68"
"46","input/C/","0","25","33951","116","0","15","46","70"
"48","input/C/","0","25","34348","119","0","17","47","72"
"47","input/C/","0","25","34612","113","0","16","46","67"
"49","input/C/","0","25","34543","116","0","16","47","69"
"50","input/C/","0","25","34740","123","0","18","51","72"
"51","input/C/","0","25","34222","119","0","16","49","70"
"52","input/C/","0","25","34713","118","0","16","47","71"
"55","input/C/","0","25","34795","116","0","16","45","71"
"53","input/C/","0","25","34184","118","0","17","50","68"
"54","input/C/","0","25","34342","118","0","17","47","71"
"56","input/C/","0","25","34815","120","0","15","47","73"
"57","input/C/","0","25","34718","120","0","17","48","72"
"58","input/C/","0","25","34746","117","0","17","47","70"
"59","input/C/","0","25","34795","116","0","16","46","70"
"60","input/C/","0","25","34759","114","0","16","46","68"
"61","input/C/","0","25","34626","116","0","16","46","70"
"63","input/C/","0","25","34707","116","0","15","47","69"
"62","input/C/","0","25","34759","122","0","17","51","71"
"64","input/C/","0","25","34808","122","0","17","50","72"
"65","input/C/","0","25","34803","116","0","16","46","70"
"66","input/C/","0","25","34560","115","0","15","47","68"
"67","input/C/","0","25","34764","114","0","15","45","69"
"68","input/C/","0","25","34738","119","0","16","47","72"
"69","input/C/","0","25","34715","120","0","16","48","72"
"70","input/C/","0","25","34774","116","0","16","46","70"
"72","input/C/","0","25","34538","119","0","16","47","72"
"71","input/C/","0","25","34169","115","0","15","45","70"
"73","input/C/","0","25","34555","115","0","15","46","69"
"74","input/C/","0","25","34756","116","0","16","48","68"
"75","input/C/","0","25","34551","113","0","16","45","68"
"79","input/C/","0","25","34693","115","0","16","44","71"
"76","input/C/","0","25","34620","120","0","17","49","71"
"77","input/C/","0","25","34806","122","0","18","50","72"
"80","input/C/","0","25","34731","115","0","16","46","69"
"78","input/C/","0","25","34725","120","0","16","49","71"
"81","input/C/","0","50","34587","94","0","25","25","69"
"82","input/C/","0","50","34800","99","0","31","29","70"
"83","input/C/","0","50","34015","98","0","29","28","70"
"84","input/C/","0","50","34666","99","0","28","27","72"
"86","input/C/","0","50","34802","99","0","28","27","72"
"85","input/C/","0","50","34166","96","0","27","25","71"
"87","input/C/","0","50","34152","95","0","28","26","69"
"88","input/C/","0","50","34182","98","0","27","27","71"
"90","input/C/","0","50","34395","95","0","27","25","70"
"89","input/C/","0","50","33974","99","0","28","27","72"
"91","input/C/","0","50","34716","95","0","27","27","68"
"92","input/C/","0","50","34134","95","0","27","25","70"
"93","input/C/","0","50","34369","93","0","27","26","67"
"95","input/C/","0","50","34360","99","0","27","27","72"
"94","input/C/","0","50","34143","96","0","30","29","67"
"96","input/C/","0","50","33834","96","0","27","27","69"
"99","input/C/","0","50","34528","94","0","27","27","67"
"97","input/C/","0","50","34450","97","0","28","27","70"
"98","input/C/","0","50","34701","100","0","29","28","72"
"100","input/C/","0","50","34417","101","0","29","29","72"
"101","input/C/","0","50","34534","93","0","27","25","68"
"102","input/C/","0","50","34328","91","0","24","23","68"
"103","input/C/","0","50","34176","96","0","27","27","69"
"105","input/C/","0","50","33972","100","0","29","28","72"
"104","input/C/","0","50","34585","100","0","29","29","71"
"106","input/C/","0","50","34162","93","0","26","25","68"
"110","input/C/","0","50","34125","96","0","27","26","70"
"107","input/C/","0","50","34814","96","0","29","27","69"
"109","input/C/","0","50","34152","97","0","28","26","71"
"108","input/C/","0","50","34801","99","0","29","28","71"
"112","input/C/","0","50","34358","98","0","29","27","71"
"111","input/C/","0","50","34406","101","0","30","30","71"
"113","input/C/","0","50","34830","100","0","27","27","73"
"115","input/C/","0","50","34808","93","0","26","25","68"
"114","input/C/","0","50","34382","96","0","28","27","69"
"116","input/C/","0","50","34374","95","0","25","25","70"
"119","input/C/","0","50","34214","95","0","27","25","70"
"117","input/C/","0","50","34662","97","0","29","28","69"
"118","input/C/","0","50","34579","100","0","29","28","72"
"120","input/C/","0","50","33982","95","0","28","27","68"
"121","input/C/","0","75","34389","79","0","31","11","68"
"122","input/C/","0","75","34603","83","0","35","12","71"
"123","input/C/","0","75","34097","80","0","31","10","70"
"124","input/C/","0","75","34579","83","0","32","11","72"
"125","input/C/","0","75","33941","80","0","36","11","69"
"126","input/C/","0","75","34747","82","0","34","11","71"
"127","input/C/","0","75","34355","81","0","34","11","70"
"128","input/C/","0","75","34484","81","0","37","12","69"
"129","input/C/","0","75","34638","80","0","33","11","69"
"130","input/C/","0","75","34557","78","0","33","10","68"
"131","input/C/","0","75","33948","78","0","34","10","68"
"132","input/C/","0","75","34560","83","0","33","11","72"
"133","input/C/","0","75","34155","80","0","34","11","69"
"134","input/C/","0","75","34546","80","0","34","10","70"
"135","input/C/","0","75","34017","82","0","36","11","71"
"137","input/C/","0","75","34707","80","0","34","10","70"
"136","input/C/","0","75","34285","84","0","36","12","72"
"138","input/C/","0","75","34869","77","0","32","11","66"
"139","input/C/","0","75","34735","81","0","34","12","69"
"140","input/C/","0","75","34666","80","0","35","12","68"
"141","input/C/","0","75","33977","85","0","34","12","73"
"142","input/C/","0","75","34812","79","0","34","10","69"
"143","input/C/","0","75","34766","81","0","29","9","72"
"144","input/C/","0","75","33934","81","0","32","11","70"
"145","input/C/","0","75","34141","80","0","31","11","69"
"146","input/C/","0","75","34148","81","0","29","10","71"
"147","input/C/","0","75","34334","79","0","28","9","70"
"148","input/C/","0","75","34781","86","0","34","12","74"
"149","input/C/","0","75","34569","78","0","35","12","66"
"150","input/C/","0","75","33941","81","0","31","10","71"
"151","input/C/","0","75","34194","84","0","36","12","72"
"152","input/C/","0","75","34584","80","0","28","9","71"
"153","input/C/","0","75","34626","82","0","31","10","72"
"154","input/C/","0","75","34630","83","0","35","12","71"
"155","input/C/","0","75","34159","84","0","36","12","72"
"156","input/C/","0","75","34566","80","0","35","11","69"
"157","input/C/","0","75","34803","82","0","35","11","71"
"158","input/C/","0","75","34567","78","0","32","11","67"
"159","input/C/","0","75","34627","83","0","35","12","71"
"160","input/C/","0","75","34564","78","0","29","9","69"
"161","input/C/","0","100","34364","71","0","32","0","71"
"162","input/C/","0","100","34201","72","0","36","0","72"
"163","input/C/","0","100","33973","72","0","30","0","72"
"164","input/C/","0","100","34588","73","0","34","0","73"
"165","input/C/","0","100","34841","70","0","35","0","70"
"166","input/C/","0","100","34449","72","0","34","0","72"
"167","input/C/","0","100","34197","70","0","32","0","70"
"168","input/C/","0","100","34566","72","0","31","0","72"
"169","input/C/","0","100","34571","70","0","31","0","70"
"170","input/C/","0","100","33534","71","0","34","0","71"
"171","input/C/","0","100","34214","72","0","32","0","72"
"172","input/C/","0","100","34217","69","0","32","0","69"
"173","input/C/","0","100","34416","68","0","32","0","68"
"174","input/C/","0","100","34198","66","0","34","0","66"
"176","input/C/","0","100","34540","71","0","34","0","71"
"175","input/C/","0","100","34174","71","0","34","0","71"
"177","input/C/","0","100","34223","71","0","34","0","71"
"179","input/C/","0","100","34128","70","0","36","0","70"
"178","input/C/","0","100","34359","72","0","33","0","72"
"180","input/C/","0","100","33402","72","0","36","0","72"
"181","input/C/","0","100","33984","69","0","31","0","69"
"182","input/C/","0","100","34564","72","0","36","0","72"
"183","input/C/","0","100","34628","69","0","32","0","69"
"184","input/C/","0","100","34172","70","0","34","0","70"
"185","input/C/","0","100","34139","69","0","33","0","69"
"186","input/C/","0","100","33456","70","0","31","0","70"
"187","input/C/","0","100","34734","69","0","34","0","69"
"188","input/C/","0","100","34627","68","0","33","0","68"
"189","input/C/","0","100","34756","73","0","34","0","73"
"190","input/C/","0","100","34173","67","0","32","0","67"
"191","input/C/","0","100","34005","67","0","32","0","67"
"192","input/C/","0","100","34794","70","0","32","0","70"
"193","input/C/","0","100","34337","71","0","34","0","71"
"194","input/C/","0","100","34384","72","0","36","0","72"
"195","input/C/","0","100","34557","72","0","34","0","72"
"196","input/C/","0","100","34556","70","0","31","0","70"
"197","input/C/","0","100","34619","70","0","29","0","70"
"198","input/C/","0","100","34359","70","0","33","0","70"
"199","input/C/","0","100","34593","71","0","30","0","71"
"200","input/C/","0","100","34361","70","0","29","0","70"
"201","input/C/","25","0","34364","114","15","0","69","45"
"202","input/C/","25","0","33957","108","16","0","63","45"
"203","input/C/","25","0","34723","113","15","0","70","43"
"204","input/C/","25","0","34522","110","15","0","63","47"
"205","input/C/","25","0","34338","113","15","0","66","47"
"206","input/C/","25","0","34577","119","15","0","73","46"
"207","input/C/","25","0","34760","111","14","0","67","44"
"208","input/C/","25","0","34541","109","14","0","66","43"
"209","input/C/","25","0","34154","111","15","0","64","47"
"210","input/C/","25","0","34620","111","15","0","65","46"
"211","input/C/","25","0","34656","120","16","0","73","47"
"212","input/C/","25","0","34224","111","16","0","64","47"
"213","input/C/","25","0","34653","113","16","0","67","46"
"214","input/C/","25","0","34777","106","15","0","61","45"
"215","input/C/","25","0","34565","118","15","0","72","46"
"216","input/C/","25","0","34567","110","15","0","63","47"
"218","input/C/","25","0","33954","111","15","0","66","45"
"217","input/C/","25","0","34801","112","15","0","69","43"
"219","input/C/","25","0","34340","112","15","0","65","47"
"220","input/C/","25","0","34725","109","15","0","64","45"
"221","input/C/","25","0","34606","114","15","0","70","44"
"222","input/C/","25","0","34960","108","15","0","62","46"
"223","input/C/","25","0","34775","112","15","0","67","45"
"224","input/C/","25","0","34773","104","14","0","61","43"
"225","input/C/","25","0","33761","112","16","0","66","46"
"226","input/C/","25","0","34408","109","16","0","65","44"
"227","input/C/","25","0","34807","113","16","0","67","46"
"228","input/C/","25","0","34763","110","16","0","64","46"
"229","input/C/","25","0","34841","109","16","0","62","47"
"230","input/C/","25","0","34540","121","15","0","74","47"
"231","input/C/","25","0","34823","107","15","0","63","44"
"232","input/C/","25","0","34735","114","16","0","69","45"
"233","input/C/","25","0","34827","114","15","0","69","45"
"234","input/C/","25","0","34812","110","16","0","65","45"
"235","input/C/","25","0","34808","113","15","0","70","43"
"236","input/C/","25","0","34597","109","13","0","69","40"
"237","input/C/","25","0","34592","99","14","0","59","40"
"239","input/C/","25","0","34767","117","15","0","71","46"
"238","input/C/","25","0","34733","117","15","0","73","44"
"241","input/C/","25","25","34189","83","14","14","41","42"
"240","input/C/","25","0","34649","108","15","0","63","45"
"242","input/C/","25","25","34357","84","14","14","42","42"
"243","input/C/","25","25","34589","89","16","15","44","45"
"244","input/C/","25","25","34207","79","13","13","38","41"
"245","input/C/","25","25","34727","87","15","14","42","45"
"246","input/C/","25","25","34569","93","15","16","47","46"
"247","input/C/","25","25","34430","88","15","14","41","47"
"248","input/C/","25","25","34569","82","14","14","41","41"
"249","input/C/","25","25","34776","83","15","14","40","43"
"250","input/C/","25","25","34604","93","15","15","47","46"
"251","input/C/","25","25","34541","89","15","15","43","46"
"252","input/C/","25","25","34774","85","14","15","44","41"
"254","input/C/","25","25","33519","86","15","13","40","46"
"253","input/C/","25","25","34373","92","15","16","47","45"
"255","input/C/","25","25","34642","91","15","15","44","47"
"256","input/C/","25","25","34119","84","16","14","40","44"
"257","input/C/","25","25","34183","82","15","13","38","44"
"259","input/C/","25","25","34807","82","15","13","39","43"
"258","input/C/","25","25","34541","85","15","14","39","46"
"260","input/C/","25","25","34395","89","15","15","43","46"
"261","input/C/","25","25","33889","86","15","14","41","45"
"264","input/C/","25","25","33389","80","14","13","40","40"
"262","input/C/","25","25","33723","87","14","16","45","42"
"265","input/C/","25","25","32958","84","16","14","40","44"
"263","input/C/","25","25","34785","86","14","15","44","42"
"266","input/C/","25","25","34238","88","15","14","42","46"
"267","input/C/","25","25","34379","86","15","14","41","45"
"268","input/C/","25","25","34224","82","14","14","40","42"
"269","input/C/","25","25","34584","85","14","14","41","44"
"270","input/C/","25","25","34750","86","14","15","46","40"
"271","input/C/","25","25","34187","83","15","13","38","45"
"272","input/C/","25","25","34502","87","14","15","43","44"
"273","input/C/","25","25","34562","87","15","14","43","44"
"274","input/C/","25","25","34413","93","16","15","47","46"
"275","input/C/","25","25","33970","84","15","14","38","46"
"276","input/C/","25","25","34567","89","16","15","43","46"
"277","input/C/","25","25","34358","89","15","16","46","43"
"278","input/C/","25","25","34558","85","15","14","40","45"
"279","input/C/","25","25","34359","85","15","13","39","46"
"280","input/C/","25","25","34782","88","15","15","43","45"
"281","input/C/","25","50","34383","67","14","23","23","44"
"283","input/C/","25","50","34194","70","15","25","24","46"
"282","input/C/","25","50","34574","69","16","24","22","47"
"284","input/C/","25","50","34547","73","16","27","26","47"
"285","input/C/","25","50","34575","68","15","26","24","44"
"286","input/C/","25","50","34353","67","15","25","24","43"
"287","input/C/","25","50","34748","67","15","23","22","45"
"288","input/C/","25","50","34581","68","16","23","22","46"
"289","input/C/","25","50","34726","67","15","24","23","44"
"290","input/C/","25","50","34375","64","13","23","23","41"
"291","input/C/","25","50","34721","69","15","23","22","47"
"292","input/C/","25","50","34373","65","15","22","21","44"
"293","input/C/","25","50","34547","67","15","23","23","44"
"294","input/C/","25","50","34558","63","15","22","20","43"
"295","input/C/","25","50","34575","70","15","25","23","47"
"296","input/C/","25","50","34361","72","15","26","25","47"
"297","input/C/","25","50","34834","66","15","23","23","43"
"298","input/C/","25","50","34160","65","14","23","22","43"
"299","input/C/","25","50","34216","66","15","24","22","44"
"300","input/C/","25","50","34153","67","15","24","22","45"
"301","input/C/","25","50","34767","65","15","25","23","42"
"302","input/C/","25","50","33979","71","15","26","24","47"
"304","input/C/","25","50","34817","66","14","24","23","43"
"303","input/C/","25","50","34538","66","15","23","21","45"
"305","input/C/","25","50","34148","65","15","24","23","42"
