"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-APP/IPS-SPREADS-2-4-APP.nlogo"
"APP-D"
"02/25/2021 10:17:01:652 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","0","200"
"[run number]","path-to-input","sanitation-fellingA","sanitation-fellingB","[step]","nhost","ncut1","ncut2","nadj","nnlp"
"7","input/D/","0","0","34529","290","0","0","103","187"
"1","input/D/","0","0","34624","298","0","0","105","193"
"4","input/D/","0","0","34623","288","0","0","102","186"
"3","input/D/","0","0","34772","287","0","0","103","184"
"2","input/D/","0","0","34856","295","0","0","104","191"
"10","input/D/","0","0","34679","285","0","0","102","183"
"5","input/D/","0","0","34626","293","0","0","102","191"
"6","input/D/","0","0","34621","287","0","0","102","185"
"9","input/D/","0","0","34390","284","0","0","102","182"
"8","input/D/","0","0","34780","293","0","0","104","189"
"13","input/D/","0","0","34568","285","0","0","103","182"
"12","input/D/","0","0","34493","290","0","0","103","187"
"11","input/D/","0","0","34760","292","0","0","105","187"
"20","input/D/","0","0","34757","295","0","0","103","192"
"17","input/D/","0","0","34609","292","0","0","104","188"
"15","input/D/","0","0","34855","293","0","0","104","189"
"14","input/D/","0","0","34781","285","0","0","102","183"
"18","input/D/","0","0","34631","288","0","0","102","186"
"16","input/D/","0","0","34349","293","0","0","104","189"
"19","input/D/","0","0","34773","296","0","0","105","191"
"24","input/D/","0","0","34612","291","0","0","103","188"
"26","input/D/","0","0","34758","290","0","0","104","186"
"21","input/D/","0","0","34787","290","0","0","104","186"
"22","input/D/","0","0","34824","286","0","0","104","182"
"28","input/D/","0","0","34368","289","0","0","101","188"
"23","input/D/","0","0","34786","292","0","0","105","187"
"29","input/D/","0","0","34732","294","0","0","105","189"
"25","input/D/","0","0","34758","291","0","0","104","187"
"27","input/D/","0","0","34778","293","0","0","103","190"
"30","input/D/","0","0","34734","290","0","0","103","187"
"33","input/D/","0","0","34534","289","0","0","105","184"
"31","input/D/","0","0","34733","296","0","0","104","192"
"37","input/D/","0","0","34731","284","0","0","103","181"
"38","input/D/","0","0","34815","286","0","0","99","187"
"32","input/D/","0","0","34383","297","0","0","104","193"
"39","input/D/","0","0","34749","291","0","0","103","188"
"34","input/D/","0","0","34863","292","0","0","105","187"
"36","input/D/","0","0","34793","290","0","0","104","186"
"35","input/D/","0","0","34823","297","0","0","107","190"
"40","input/D/","0","0","34381","289","0","0","103","186"
"41","input/D/","0","25","34460","258","0","25","74","184"
"44","input/D/","0","25","34333","258","0","25","74","184"
"46","input/D/","0","25","34624","254","0","25","73","181"
"47","input/D/","0","25","34668","247","0","25","73","174"
"45","input/D/","0","25","34784","256","0","25","74","182"
"49","input/D/","0","25","34751","258","0","25","73","185"
"42","input/D/","0","25","34540","248","0","25","72","176"
"43","input/D/","0","25","34892","257","0","25","72","185"
"48","input/D/","0","25","34654","248","0","25","74","174"
"50","input/D/","0","25","34726","261","0","25","74","187"
"51","input/D/","0","25","34732","259","0","25","74","185"
"55","input/D/","0","25","34794","254","0","25","73","181"
"54","input/D/","0","25","34668","256","0","26","74","182"
"52","input/D/","0","25","34716","254","0","25","74","180"
"56","input/D/","0","25","34766","257","0","24","73","184"
"53","input/D/","0","25","34634","255","0","25","74","181"
"58","input/D/","0","25","34570","254","0","25","73","181"
"57","input/D/","0","25","34786","261","0","25","73","188"
"59","input/D/","0","25","34902","250","0","25","72","178"
"60","input/D/","0","25","34146","256","0","25","74","182"
"61","input/D/","0","25","34325","253","0","26","74","179"
"62","input/D/","0","25","34618","254","0","25","74","180"
"63","input/D/","0","25","34618","252","0","25","72","180"
"65","input/D/","0","25","34396","253","0","25","73","180"
"67","input/D/","0","25","34485","257","0","25","75","182"
"66","input/D/","0","25","34743","249","0","25","73","176"
"64","input/D/","0","25","34414","251","0","25","72","179"
"68","input/D/","0","25","34557","257","0","25","73","184"
"69","input/D/","0","25","34384","255","0","25","74","181"
"70","input/D/","0","25","34765","253","0","25","73","180"
"71","input/D/","0","25","34571","254","0","25","72","182"
"73","input/D/","0","25","34767","254","0","24","73","181"
"76","input/D/","0","25","34780","258","0","25","72","186"
"72","input/D/","0","25","34779","256","0","25","72","184"
