"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-APP/IPS-SPREADS-2-4-APP.nlogo"
"APP-E"
"02/25/2021 10:43:32:177 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","0","200"
"[run number]","path-to-input","sanitation-fellingA","sanitation-fellingB","[step]","nhost","ncut1","ncut2","nadj","nnlp"
"7","input/E/","0","0","33947","333","0","0","23","310"
"2","input/E/","0","0","34021","328","0","0","21","307"
"4","input/E/","0","0","33997","328","0","0","20","308"
"6","input/E/","0","0","33847","332","0","0","23","309"
"5","input/E/","0","0","34058","338","0","0","23","315"
"3","input/E/","0","0","33996","334","0","0","21","313"
"10","input/E/","0","0","33997","337","0","0","24","313"
"8","input/E/","0","0","34141","337","0","0","22","315"
"9","input/E/","0","0","33996","339","0","0","23","316"
"1","input/E/","0","0","34003","333","0","0","21","312"
"15","input/E/","0","0","34087","330","0","0","22","308"
"12","input/E/","0","0","33975","338","0","0","20","318"
"11","input/E/","0","0","33972","337","0","0","21","316"
"13","input/E/","0","0","34031","338","0","0","21","317"
"16","input/E/","0","0","34041","336","0","0","23","313"
"17","input/E/","0","0","33985","330","0","0","23","307"
"14","input/E/","0","0","34014","334","0","0","21","313"
"18","input/E/","0","0","33977","334","0","0","21","313"
"19","input/E/","0","0","34100","332","0","0","22","310"
"20","input/E/","0","0","34007","337","0","0","22","315"
"22","input/E/","0","0","34071","334","0","0","20","314"
"21","input/E/","0","0","34061","332","0","0","22","310"
"23","input/E/","0","0","34030","332","0","0","20","312"
"24","input/E/","0","0","34004","339","0","0","23","316"
"25","input/E/","0","0","34018","344","0","0","24","320"
"28","input/E/","0","0","33984","329","0","0","21","308"
"27","input/E/","0","0","33996","335","0","0","21","314"
"30","input/E/","0","0","33997","335","0","0","21","314"
"26","input/E/","0","0","34059","338","0","0","20","318"
"29","input/E/","0","0","33943","345","0","0","25","320"
"31","input/E/","0","0","34014","332","0","0","21","311"
"32","input/E/","0","0","34038","333","0","0","23","310"
"33","input/E/","0","0","34005","330","0","0","22","308"
"35","input/E/","0","0","33950","338","0","0","22","316"
"34","input/E/","0","0","34001","338","0","0","21","317"
"37","input/E/","0","0","34031","334","0","0","23","311"
"36","input/E/","0","0","34027","338","0","0","23","315"
"40","input/E/","0","0","34091","334","0","0","23","311"
"38","input/E/","0","0","34029","332","0","0","21","311"
"39","input/E/","0","0","34047","334","0","0","20","314"
"41","input/E/","0","25","33960","327","0","6","16","311"
"42","input/E/","0","25","33990","330","0","6","16","314"
"43","input/E/","0","25","34012","332","0","5","15","317"
"44","input/E/","0","25","34000","331","0","6","16","315"
"46","input/E/","0","25","33951","331","0","6","17","314"
"45","input/E/","0","25","33986","333","0","5","15","318"
"47","input/E/","0","25","33998","316","0","5","15","301"
"49","input/E/","0","25","33971","330","0","6","17","313"
"48","input/E/","0","25","33988","327","0","5","16","311"
"50","input/E/","0","25","33997","327","0","5","16","311"
"51","input/E/","0","25","34004","328","0","5","15","313"
"52","input/E/","0","25","33789","328","0","5","17","311"
"53","input/E/","0","25","33947","328","0","6","18","310"
"54","input/E/","0","25","34048","336","0","6","17","319"
"55","input/E/","0","25","33951","327","0","6","16","311"
"56","input/E/","0","25","34002","333","0","6","16","317"
"57","input/E/","0","25","33976","327","0","5","16","311"
"58","input/E/","0","25","33960","328","0","6","17","311"
"59","input/E/","0","25","34004","329","0","5","15","314"
"60","input/E/","0","25","34047","326","0","5","15","311"
"61","input/E/","0","25","34176","333","0","5","15","318"
"63","input/E/","0","25","33817","326","0","5","16","310"
"62","input/E/","0","25","33999","325","0","5","15","310"
"65","input/E/","0","25","34063","332","0","5","16","316"
"64","input/E/","0","25","33977","334","0","6","16","318"
"66","input/E/","0","25","33949","329","0","6","16","313"
"67","input/E/","0","25","34029","331","0","5","16","315"
"68","input/E/","0","25","34008","332","0","5","16","316"
"69","input/E/","0","25","33998","334","0","5","16","318"
"70","input/E/","0","25","34017","325","0","6","16","309"
"71","input/E/","0","25","33845","323","0","5","16","307"
"73","input/E/","0","25","34095","329","0","6","16","313"
"72","input/E/","0","25","34280","334","0","6","16","318"
"74","input/E/","0","25","33997","328","0","5","15","313"
