"site","sanitation.fellingA","sanitation.fellingB","nhost","ncut1","ncut2","nadj","nnlp","ndam"
"site A",0,0,43,0,0,7,36,7
"site A",0,0,47,0,0,12,35,12
"site A",0,0,44,0,0,7,37,7
"site A",0,0,55,0,0,18,37,18
"site A",0,0,40,0,0,6,34,6
"site A",0,0,40,0,0,3,37,3
"site A",0,0,46,0,0,11,35,11
"site A",0,0,46,0,0,10,36,10
"site A",0,0,39,0,0,5,34,5
"site A",0,0,43,0,0,7,36,7
"site A",0,0,42,0,0,7,35,7
"site A",0,0,40,0,0,2,38,2
"site A",0,0,44,0,0,4,40,4
"site A",0,0,48,0,0,11,37,11
"site A",0,0,42,0,0,6,36,6
"site A",0,0,45,0,0,5,40,5
"site A",0,0,47,0,0,10,37,10
"site A",0,0,45,0,0,5,40,5
"site A",0,0,42,0,0,6,36,6
"site A",0,0,50,0,0,11,39,11
"site A",0,0,42,0,0,5,37,5
"site A",0,0,47,0,0,11,36,11
"site A",0,0,50,0,0,13,37,13
"site A",0,0,41,0,0,3,38,3
"site A",0,0,51,0,0,12,39,12
"site A",0,0,50,0,0,12,38,12
"site A",0,0,44,0,0,8,36,8
"site A",0,0,44,0,0,7,37,7
"site A",0,0,38,0,0,3,35,3
"site A",0,0,41,0,0,4,37,4
"site A",0,0,40,0,0,4,36,4
"site A",0,0,40,0,0,4,36,4
"site A",0,0,51,0,0,15,36,15
"site A",0,0,36,0,0,2,34,2
"site A",0,0,42,0,0,5,37,5
"site A",0,0,44,0,0,8,36,8
"site A",0,0,40,0,0,4,36,4
"site A",0,0,44,0,0,8,36,8
"site A",0,0,42,0,0,4,38,4
"site A",0,0,50,0,0,10,40,10
"site A",0,25,40,0,2,2,38,4
"site A",0,25,40,0,1,2,38,3
"site A",0,25,35,0,1,1,34,2
"site A",0,25,44,0,2,5,39,7
"site A",0,25,39,0,1,3,36,4
"site A",0,25,38,0,1,2,36,3
"site A",0,25,39,0,1,1,38,2
"site A",0,25,38,0,1,2,36,3
"site A",0,25,37,0,1,2,35,3
"site A",0,25,40,0,1,1,39,2
"site A",0,25,38,0,2,3,35,5
"site A",0,25,43,0,2,5,38,7
"site A",0,25,43,0,2,5,38,7
"site A",0,25,38,0,0,2,36,2
"site A",0,25,42,0,2,5,37,7
"site A",0,25,41,0,2,5,36,7
"site A",0,25,41,0,0,2,39,2
"site A",0,25,38,0,1,3,35,4
"site A",0,25,43,0,2,4,39,6
"site A",0,25,42,0,2,4,38,6
"site A",0,25,38,0,1,1,37,2
"site A",0,25,39,0,1,2,37,3
"site A",0,25,40,0,2,4,36,6
"site A",0,25,34,0,1,2,32,3
"site A",0,25,40,0,1,2,38,3
"site A",0,25,39,0,2,4,35,6
"site A",0,25,44,0,2,6,38,8
"site A",0,25,40,0,1,2,38,3
"site A",0,25,34,0,1,1,33,2
"site A",0,25,42,0,0,2,40,2
"site A",0,25,39,0,1,1,38,2
"site A",0,25,40,0,2,4,36,6
"site A",0,25,40,0,1,1,39,2
"site A",0,25,45,0,2,5,40,7
"site A",0,25,38,0,1,1,37,2
"site A",0,25,34,0,1,1,33,2
"site A",0,25,37,0,1,1,36,2
"site A",0,25,37,0,1,2,35,3
"site A",0,25,40,0,2,2,38,4
"site A",0,25,36,0,1,1,35,2
"site A",0,50,36,0,3,1,35,4
"site A",0,50,38,0,2,1,37,3
