"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-VAL.nlogo"
"A"
"02/09/2021 11:08:55:087 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","path-to-input","[step]","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright"
"10","input/A/","11041","7","54","86.6","1","5.2","129","186","51"
"1","input/A/","9638","6.7","47","41","1","5.1","130","186","44"
"9","input/A/","7170","6.6","34","59","1","2.2","144","186","51"
"8","input/A/","10836","7.6","53","249.8","1","0.9","115","186","43"
"5","input/A/","4637","7.8","22","320.8","1","1.5","151","186","39"
"13","input/A/","3463","6.3","16","82.4","1","4.6","165","186","64"
"15","input/A/","3910","12.6","18","14.9","1","0.7","142","186","32"
"4","input/A/","31071","8.3","51","97.9","2","0.7","410","186","133"
"7","input/A/","25295","10.1","42","8.7","2","2.2","348","186","78"
"16","input/A/","3256","11.4","15","163.9","1","2.1","151","186","53"
"18","input/A/","8848","8","43","73.7","1","0.5","140","186","52"
"2","input/A/","16099","12.3","26","328.9","2","1.1","301","186","48"
"6","input/A/","14897","13.5","24","309.2","2","0.9","215","186","34"
"23","input/A/","4420","8","21","35.7","1","0.8","155","186","56"
"12","input/A/","12818","6.4","21","21.1","2","1.8","539","186","66"
"25","input/A/","5806","7.6","28","242.7","1","4.3","148","186","60"
"19","input/A/","22331","12.5","36","210.2","2","4.1","135","186","30"
"26","input/A/","4066","8.2","19","329.4","1","1.5","159","186","30"
"22","input/A/","18400","11.5","30","346.8","2","4.9","306","186","74"
"17","input/A/","12371","7.7","20","354.9","2","0.8","574","186","138"
"20","input/A/","8860","13.2","14","124.8","2","3.9","502","186","87"
"30","input/A/","5449","6.9","26","182.9","1","5.2","148","186","59"
"14","input/A/","7037","10","11","152.3","2","4.5","854","186","151"
"32","input/A/","10218","7.4","50","17.8","1","2.8","124","186","28"
"24","input/A/","15419","11.2","25","105.3","2","5.2","450","186","117"
"31","input/A/","4719","9.1","22","26.4","1","0.6","160","186","39"
"11","input/A/","6387","9.9","10","137.4","2","0.6","856","186","161"
"29","input/A/","2229","12.3","10","132.9","1","0","181","186","47"
"21","input/A/","8170","11.5","13","90.3","2","0.4","790","186","147"
"27","input/A/","22477","7.7","37","294.6","2","3.4","407","186","64"
"33","input/A/","4868","13.4","23","65.4","1","0.7","112","186","18"
"34","input/A/","8275","12.1","39","261.5","1","4.8","71","186","27"
"37","input/A/","4904","10.2","23","195.2","1","2.9","153","186","56"
"3","input/A/","5173","10.9","8","291.4","2","4.2","1043","186","129"
"28","input/A/","13017","11.2","21","205.4","2","2","486","186","134"
"38","input/A/","11616","13.9","55","199.3","1","0.8","19","186","4"
"35","input/A/","18392","11.3","30","46.8","2","0.5","425","186","56"
"44","input/A/","3593","9.3","17","151.8","1","4.2","181","186","83"
"45","input/A/","11357","10","55","219.1","1","0.9","95","186","39"
"41","input/A/","5982","13.5","28","294.6","1","2.4","79","186","14"
"50","input/A/","9705","10.4","47","7.9","1","3.4","98","186","30"
"42","input/A/","25329","11.3","42","240","2","0.6","163","186","54"
"51","input/A/","9240","8.8","45","108.2","1","1.5","136","186","59"
"36","input/A/","10628","13.5","17","193.8","2","1.5","359","186","57"
