"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-VAL.nlogo"
"B"
"02/09/2021 11:09:37:884 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","path-to-input","[step]","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright"
"8","input/B/","10808","8.8","53","356.3","1","4","260","101","99"
"3","input/B/","7625","9.2","37","247.1","1","4.6","281","101","94"
"9","input/B/","6483","12.2","31","198.7","1","4.9","245","101","84"
"5","input/B/","3372","8.3","16","217.6","1","4.4","312","101","98"
"4","input/B/","27374","7.3","45","337.3","2","5.2","849","101","99"
"1","input/B/","22077","11.9","36","347.9","2","0.9","829","101","99"
"2","input/B/","20754","9.3","34","148.8","2","3.8","953","101","99"
"7","input/B/","17306","13.4","28","147.5","2","4.9","771","101","94"
"15","input/B/","8452","11.5","41","74.3","1","1.4","238","101","70"
"13","input/B/","19586","13.3","32","286.2","2","4.4","518","101","78"
"11","input/B/","14223","13.6","23","255.1","2","2.5","634","101","90"
"19","input/B/","11002","8.2","54","203.6","1","2.7","274","101","99"
"16","input/B/","6293","13.6","30","9.9","1","1.3","209","101","42"
"21","input/B/","10999","7.3","54","303.3","1","0.2","266","101","95"
"22","input/B/","7235","6.6","35","309.1","1","4.1","275","101","95"
"20","input/B/","4333","6.5","21","263","1","5.4","302","101","87"
"24","input/B/","10855","9.5","53","262.3","1","1.3","263","101","99"
"6","input/B/","11829","10.8","19","159.8","2","2.8","1109","101","99"
"12","input/B/","12757","8.6","21","89","2","2.8","1087","101","99"
"10","input/B/","10551","8.2","17","76.4","2","0.7","1054","101","99"
"14","input/B/","13379","8.1","22","13.9","2","2.2","1096","101","99"
"30","input/B/","5560","6.3","27","216.2","1","5","295","101","99"
"18","input/B/","10570","13.8","17","49.7","2","2.7","842","101","93"
"26","input/B/","20143","12.2","33","324.9","2","3.3","752","101","89"
"27","input/B/","27359","8.8","45","351.1","2","3.6","888","101","99"
"28","input/B/","17163","12.9","28","338.5","2","3.1","781","101","99"
"33","input/B/","3914","9","18","186.3","1","0.7","304","101","97"
"17","input/B/","12369","8.3","20","308","2","4.3","1072","101","99"
"37","input/B/","11309","6.6","56","180.1","1","3.8","275","101","99"
"32","input/B/","24377","9","40","239.5","2","1.7","890","101","89"
"34","input/B/","3014","13.6","14","347.3","1","2.2","306","101","78"
"36","input/B/","4613","9.7","22","62.7","1","1.5","320","101","97"
"29","input/B/","14853","9.6","24","214.8","2","1.2","1044","101","99"
"43","input/B/","11222","8.8","55","34.5","1","3.9","263","101","99"
"31","input/B/","12758","6.1","21","170.9","2","2","996","101","99"
"41","input/B/","3458","8.6","16","273","1","1.9","316","101","96"
"35","input/B/","19459","8.2","32","178.6","2","3.8","965","101","99"
"39","input/B/","25359","6.2","42","225.2","2","1.3","867","101","98"
"23","input/B/","6767","7.3","11","216.2","2","2.3","1104","101","99"
"40","input/B/","24976","10.4","41","33.1","2","1.5","943","101","99"
"42","input/B/","26209","11","43","315.2","2","0.8","844","101","99"
"49","input/B/","4494","6.2","21","279.1","1","3.7","299","101","95"
"38","input/B/","13970","6.5","23","176.5","2","1.8","984","101","99"
"25","input/B/","6789","6.4","11","211.1","2","3.7","1110","101","99"
"51","input/B/","4030","11.9","19","114.1","1","4.2","316","101","97"
"53","input/B/","7428","9.3","36","136.6","1","4.8","283","101","98"
"52","input/B/","5001","10.4","24","218.7","1","2.1","302","101","89"
"46","input/B/","20530","7.1","34","297.6","2","4.7","913","101","99"
"55","input/B/","4598","8.5","22","22.7","1","3.8","329","101","99"
"45","input/B/","12396","9.5","20","40.4","2","4.3","1105","101","99"
"50","input/B/","30629","13.2","50","293.5","2","1.2","365","101","64"
"47","input/B/","11141","12.3","18","296","2","2.9","998","101","99"
"60","input/B/","4380","9.3","21","161.2","1","1","315","101","89"
"58","input/B/","24984","10.9","41","244.1","2","5","790","101","90"
"56","input/B/","17926","13.9","29","318.4","2","5.3","560","101","78"
"57","input/B/","15469","13.5","25","211.8","2","3.9","774","101","98"
"61","input/B/","22370","8.6","37","53.7","2","4.4","929","101","99"
"44","input/B/","6140","6.5","10","3.3","2","4.5","1168","101","99"
"65","input/B/","27912","10.2","46","196.1","2","3.4","850","101","90"
"68","input/B/","7562","6.1","37","338.5","1","1.3","275","101","93"
"67","input/B/","3825","7","18","132.8","1","0.1","317","101","88"
"71","input/B/","10431","6.6","51","41","1","1.1","270","101","99"
"70","input/B/","4815","8.7","23","76","1","3.3","298","101","99"
"54","input/B/","8208","7.2","13","320.3","2","5.3","1092","101","99"
"64","input/B/","11766","11.9","19","198.4","2","0.3","1079","101","97"
"59","input/B/","8221","10.7","13","151.4","2","3.9","1235","101","99"
"75","input/B/","8983","13","43","248.9","1","2","185","101","50"
"69","input/B/","22609","9","37","290","2","2.6","923","101","99"
