"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-VAL.nlogo"
"C"
"02/09/2021 11:09:41:072 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","path-to-input","[step]","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright"
"10","input/C/","9462","7.1","42","103","1","3","388","697","307"
"6","input/C/","7622","12","33","180.3","1","2.7","378","697","252"
"3","input/C/","6634","12","28","194.3","1","3","398","697","255"
"2","input/C/","4851","9.9","19","264.8","1","0.3","427","697","298"
"7","input/C/","4813","13.2","19","220","1","3","410","697","248"
"13","input/C/","10100","7.6","45","285.2","1","1.7","377","697","278"
"9","input/C/","3717","11.2","13","64.1","1","2.2","441","697","329"
"17","input/C/","7899","7.5","34","268.7","1","4.7","393","697","286"
"16","input/C/","7291","13.1","31","177.2","1","0.2","364","697","231"
"1","input/C/","30876","13.5","48","238.8","2","4.3","742","697","354"
"14","input/C/","3224","13.9","11","176.4","1","0.8","478","697","285"
"4","input/C/","26613","7.7","41","7.4","2","2.2","1247","697","572"
"5","input/C/","20952","6.7","32","163.9","2","2.5","1176","697","530"
"20","input/C/","6671","13.1","28","216.6","1","0.5","364","697","211"
"15","input/C/","35568","8.7","56","25.1","2","0.8","1156","697","558"
"21","input/C/","3426","6.5","12","19.5","1","3","425","697","318"
"12","input/C/","19417","10.1","29","151.6","2","3.6","1337","697","581"
"26","input/C/","12051","8.4","55","337.3","1","0.2","377","697","284"
"8","input/C/","14039","10.8","20","61.3","2","4","1486","697","619"
"19","input/C/","34358","9.3","54","1.8","2","2","1164","697","549"
"27","input/C/","11398","8.3","52","156.2","1","2","363","697","281"
"23","input/C/","33839","11.6","53","30.2","2","1.4","1056","697","524"
"18","input/C/","16406","12.9","24","320","2","0.6","1408","697","458"
"25","input/C/","32426","6.3","51","189.9","2","5.4","1078","697","523"
"32","input/C/","3419","6.9","12","236","1","1.3","442","697","312"
"34","input/C/","4207","10.1","16","257.9","1","0.2","436","697","272"
