"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-VAL.nlogo"
"D"
"02/09/2021 11:09:40:191 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","path-to-input","[step]","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright"
"7","input/D/","9684","10.7","47","144.2","1","2.8","295","133","89"
"9","input/D/","7627","8","37","133.9","1","2","304","133","91"
"6","input/D/","10714","13.9","52","261.1","1","2.3","172","133","28"
"5","input/D/","4223","6.8","20","145.5","1","0.1","324","133","93"
"12","input/D/","8887","12.4","43","224.4","1","2.4","268","133","59"
"4","input/D/","2679","13.6","12","67.5","1","1.2","359","133","95"
"10","input/D/","32121","7","53","277.8","2","1.3","797","133","98"
"2","input/D/","32545","8.3","54","157","2","1.6","826","133","121"
"17","input/D/","7394","7.1","36","70.3","1","2.9","309","133","94"
"16","input/D/","3508","7.7","16","247.3","1","5.1","328","133","82"
"8","input/D/","15951","7","26","19.4","2","5.1","1015","133","121"
"15","input/D/","27443","12.5","45","283.7","2","1.7","670","133","97"
"1","input/D/","14565","6.6","24","132.8","2","2.2","980","133","121"
"14","input/D/","18359","12","30","315.9","2","2","933","133","121"
"21","input/D/","5214","10.3","25","209.6","1","2.8","304","133","32"
"11","input/D/","15414","10.4","25","136.5","2","3.3","1032","133","121"
"20","input/D/","2989","11.4","14","253.1","1","1.5","348","133","11"
"18","input/D/","2056","12.5","9","18.4","1","3.3","386","133","92"
"3","input/D/","12155","6.7","20","102.9","2","3.6","1079","133","121"
"24","input/D/","10825","8","53","13.6","1","1.7","295","133","88"
"29","input/D/","10235","9.8","50","310.6","1","2.4","264","133","50"
"22","input/D/","2298","10.8","10","270.5","1","1.7","362","133","71"
"32","input/D/","5288","12.1","25","243.6","1","2.1","302","133","66"
"30","input/D/","33931","6.8","56","206.6","2","0.4","785","133","121"
"13","input/D/","8624","7.3","14","15.2","2","3.1","1140","133","121"
"23","input/D/","20574","7.5","34","36.3","2","0.5","991","133","121"
"25","input/D/","23219","12.4","38","297.4","2","2","732","133","97"
"26","input/D/","1632","7.4","7","283.6","1","0.3","350","133","43"
"34","input/D/","10183","7.5","50","255.4","1","4.2","293","133","85"
"28","input/D/","22685","9","37","26","2","5.3","978","133","121"
"38","input/D/","10694","11.1","52","97.3","1","4","276","133","90"
"37","input/D/","5645","8.1","27","320.6","1","4.4","308","133","79"
"33","input/D/","3883","12","18","296.3","1","0.6","314","133","64"
"19","input/D/","9993","6.9","16","119.3","2","4.7","1116","133","121"
"43","input/D/","11363","14","55","358.8","1","3.8","154","133","38"
"40","input/D/","31542","12.8","52","39.8","2","0","483","133","119"
"27","input/D/","11216","12.1","18","243.2","2","4.1","1167","133","121"
"39","input/D/","26204","13.4","43","10.9","2","0.3","436","133","110"
"36","input/D/","23768","8.4","39","228.6","2","0.9","939","133","121"
"46","input/D/","8014","7.5","39","31","1","2.2","305","133","89"
"47","input/D/","9353","7.4","46","335.9","1","4.7","292","133","66"
"45","input/D/","3811","11.2","18","141.5","1","0.2","336","133","96"
"31","input/D/","10599","12.5","17","107.9","2","4.7","1173","133","121"
"42","input/D/","21745","7.3","36","350.2","2","3.4","973","133","99"
"44","input/D/","32833","13.4","54","76.9","2","4.4","471","133","118"
"52","input/D/","5180","7.3","25","224","1","4.5","321","133","91"
"54","input/D/","11270","8.9","55","314.2","1","1.7","266","133","52"
"55","input/D/","11173","8.3","55","71.6","1","5.2","289","133","104"
"41","input/D/","15363","10","25","219","2","0.9","1023","133","94"
"58","input/D/","5228","8.1","25","192.1","1","1.8","301","133","50"
"48","input/D/","28036","10.1","46","324.4","2","5.3","870","133","121"
"60","input/D/","10625","8.5","52","139.4","1","4.8","299","133","90"
"49","input/D/","26571","7.6","44","197.3","2","4.4","892","133","121"
"51","input/D/","23162","10.4","38","17.5","2","4","892","133","118"
"63","input/D/","6014","8.1","29","81.7","1","2.3","318","133","107"
"50","input/D/","17310","13.6","28","144.7","2","5","866","133","121"
"57","input/D/","23797","10","39","151.6","2","1.9","955","133","121"
"66","input/D/","5248","8.5","25","183.7","1","1.8","311","133","66"
"59","input/D/","27915","6.8","46","134.5","2","4","877","133","121"
"67","input/D/","7826","11","38","66.6","1","4.2","289","133","95"
"62","input/D/","28021","13.8","46","353.4","2","2.3","332","133","72"
"69","input/D/","8480","13.5","41","85.9","1","4.2","214","133","58"
"64","input/D/","21202","6.7","35","291.3","2","4.1","901","133","59"
"72","input/D/","11271","10.2","55","354","1","3.1","262","133","75"
"53","input/D/","10024","9","16","78.4","2","5.4","1156","133","121"
"68","input/D/","32231","11.5","53","59.7","2","3.1","742","133","121"
"61","input/D/","14206","10.2","23","166","2","2.5","1023","133","107"
"75","input/D/","6878","13.2","33","182.9","1","2.4","252","133","59"
"73","input/D/","3029","13.3","14","254","1","2.5","330","133","15"
"70","input/D/","27470","12.8","45","224.8","2","2.7","684","133","55"
"56","input/D/","9457","6.5","15","136.3","2","3.5","1111","133","121"
"77","input/D/","11102","12.6","54","169.3","1","4.5","247","133","74"
"71","input/D/","31024","10.9","51","241.2","2","1.5","824","133","119"
"78","input/D/","7606","8.4","37","238.2","1","0.8","288","133","48"
"79","input/D/","9674","10.3","47","140.1","1","3.2","297","133","89"
"74","input/D/","33322","7.2","55","5.2","2","4.7","869","133","118"
"76","input/D/","2985","13.8","13","87.7","1","0.1","334","133","89"
"65","input/D/","10607","13.5","17","254.4","2","4.5","1067","133","120"
"85","input/D/","7817","7.2","38","248.1","1","1.8","285","133","30"
"83","input/D/","5074","10.7","24","59.7","1","2.9","323","133","95"
"88","input/D/","7306","12","35","322.3","1","5.1","248","133","46"
"87","input/D/","4272","11.9","20","271.4","1","0.4","321","133","90"
"35","input/D/","4418","6.4","7","316.2","2","4.2","1169","133","112"
"80","input/D/","26570","7.2","44","116.2","2","1.9","868","133","121"
"93","input/D/","6465","11.5","31","204.4","1","0.1","295","133","50"
"84","input/D/","16939","6.2","28","179.8","2","0.4","974","133","121"
"90","input/D/","18369","6.3","30","212.3","2","3.6","880","133","114"
"96","input/D/","5833","8.8","28","190.6","1","0.7","316","133","91"
"91","input/D/","25581","11.2","42","275.6","2","0.3","848","133","17"
"89","input/D/","15371","9.1","25","28.5","2","1.5","1068","133","121"
"97","input/D/","7248","12.4","35","287.9","1","0.5","251","133","29"
"92","input/D/","20161","8.2","33","265.5","2","4.4","987","133","121"
"86","input/D/","11262","13.9","18","136","2","0.3","1007","133","121"
"95","input/D/","33404","8.8","55","275.2","2","2.6","858","133","121"
"104","input/D/","3283","13.1","15","307.4","1","3.6","321","133","65"
"94","input/D/","11942","12.7","19","339.8","2","0.8","1000","133","121"
"105","input/D/","6192","8.1","30","286","1","3.8","307","133","32"
"103","input/D/","30950","10","51","76.1","2","1.9","863","133","121"
"100","input/D/","21312","10.8","35","344.4","2","2.2","914","133","121"
"99","input/D/","16606","12.6","27","221.6","2","1.8","966","133","121"
"102","input/D/","21386","10.1","35","283.1","2","0.7","920","133","41"
"81","input/D/","6832","8.6","11","159","2","0.5","1179","133","121"
"98","input/D/","11563","6","19","96.1","2","4.6","1056","133","121"
"109","input/D/","2882","13.7","13","134.5","1","3.7","372","133","86"
"106","input/D/","26219","10.2","43","35.4","2","5.2","911","133","121"
"114","input/D/","11072","10.2","54","51.8","1","2.2","273","133","97"
"82","input/D/","5783","6.5","9","272.8","2","0.6","1193","133","51"
"116","input/D/","9407","13.6","45","161.2","1","4.7","219","133","75"
"115","input/D/","3588","12.2","17","217.3","1","1.5","328","133","22"
"117","input/D/","9728","13.1","47","251.5","1","2","229","133","65"
"113","input/D/","2284","11.8","10","329.4","1","2.4","337","133","57"
