"path.to.input","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright","e"
"input/A/",6.7,47,41,1,5.1,130,186,44,259.09
"input/A/",12.3,26,328.9,2,1.1,301,186,48,407.29
"input/A/",10.9,8,291.4,2,4.2,1043,186,129,376.36
"input/A/",8.3,51,97.9,2,0.7,410,186,133,124.06
"input/A/",7.8,22,320.8,1,1.5,151,186,39,332.05
"input/A/",13.5,24,309.2,2,0.9,215,186,34,489.71
"input/A/",10.1,42,8.7,2,2.2,348,186,78,242.31
"input/A/",7.6,53,249.8,1,0.9,115,186,43,250
"input/A/",6.6,34,59,1,2.2,144,186,51,223.53
"input/A/",7,54,86.6,1,5.2,129,186,51,208.82
"input/A/",9.9,10,137.4,2,0.6,856,186,161,223.6
"input/A/",6.4,21,21.1,2,1.8,539,186,66,449.24
"input/A/",6.3,16,82.4,1,4.6,165,186,64,174.22
"input/A/",10,11,152.3,2,4.5,854,186,151,244.37
"input/A/",12.6,18,14.9,1,0.7,142,186,32,412.5
"input/A/",11.4,15,163.9,1,2.1,151,186,53,217.92
"input/A/",7.7,20,354.9,2,0.8,574,186,138,175.36
"input/A/",8,43,73.7,1,0.5,140,186,52,213.46
"input/A/",12.5,36,210.2,2,4.1,135,186,30,435
"input/A/",13.2,14,124.8,2,3.9,502,186,87,295.4
"input/A/",11.5,13,90.3,2,0.4,790,186,147,231.97
"input/A/",11.5,30,346.8,2,4.9,306,186,74,232.43
"input/A/",8,21,35.7,1,0.8,155,186,56,204.46
"input/A/",11.2,25,105.3,2,5.2,450,186,117,171.79
"input/A/",7.6,28,242.7,1,4.3,148,186,60,178.33
"input/A/",8.2,19,329.4,1,1.5,159,186,30,475
"input/A/",7.7,37,294.6,2,3.4,407,186,64,363.28
"input/A/",11.2,21,205.4,2,2,486,186,134,150.75
"input/A/",12.3,10,132.9,1,0,181,186,47,290.43
"input/A/",6.9,26,182.9,1,5.2,148,186,59,183.05
"input/A/",9.1,22,26.4,1,0.6,160,186,39,343.59
"input/A/",7.4,50,17.8,1,2.8,124,186,28,453.57
"input/A/",13.4,23,65.4,1,0.7,112,186,18,727.78
"input/A/",12.1,39,261.5,1,4.8,71,186,27,375.93
"input/A/",11.3,30,46.8,2,0.5,425,186,56,445.54
"input/A/",13.5,17,193.8,2,1.5,359,186,57,378.07
"input/A/",10.2,23,195.2,1,2.9,153,186,56,202.68
"input/A/",13.9,55,199.3,1,0.8,19,186,4,2462.5
"input/A/",7,22,89,2,1.5,531,186,139,157.91
"input/A/",13.3,8,161.8,2,1.3,717,186,145,211.38
"input/A/",13.5,28,294.6,1,2.4,79,186,14,846.43
"input/A/",11.3,42,240,2,0.6,163,186,54,223.15
"input/A/",13.4,40,228.6,2,2.9,66,186,14,800
"input/A/",9.3,17,151.8,1,4.2,181,186,83,121.08
"input/A/",10,55,219.1,1,0.9,95,186,39,260.26
"input/A/",8.9,37,1.1,2,0.7,441,186,125,150.8
"input/A/",8.2,38,96.1,2,5,435,186,131,137.02
"input/A/",6.9,24,91.4,2,2.1,515,186,139,152.16
"input/A/",6.9,9,247.2,2,0.4,696,186,143,208.39
"input/A/",10.4,47,7.9,1,3.4,98,186,30,373.33
"input/A/",8.8,45,108.2,1,1.5,136,186,59,172.88
"input/A/",9.1,48,138.2,1,4.8,127,186,49,219.39
"input/A/",11,45,188.2,2,4.3,207,186,61,222.13
"input/A/",6.6,15,152.8,1,2.8,167,186,72,145.14
"input/A/",8.2,14,230.3,2,3.1,672,186,143,200
"input/A/",12.1,16,53,2,5.4,691,186,77,469.48
"input/A/",13.1,23,47.1,2,0,358,186,34,700
"input/A/",13.4,40,130.7,2,0.9,68,186,10,1170
"input/A/",10.8,32,340.3,2,0.9,368,186,60,361.67
"input/A/",11.2,41,234.2,2,0.9,188,186,62,201.61
"input/A/",8.4,46,193.9,2,4.2,402,186,137,114.6
"input/A/",8.8,13,210.1,2,0.5,724,186,145,213.79
"input/A/",11.7,12,312.2,2,2.7,650,186,58,620.69
"input/A/",7.8,51,159.7,2,3.5,362,186,126,117.46
"input/A/",13.8,22,192.3,2,2,209,186,36,448.61
"input/A/",11.5,32,317.5,2,0.8,272,186,62,269.35
"input/A/",6.2,38,284.9,2,1.2,350,186,41,553.66
"input/A/",9.9,49,345.6,1,0.9,102,186,25,476
"input/A/",11.8,41,230.4,1,3.9,75,186,23,467.39
"input/A/",11.4,28,239.3,1,5.3,111,186,37,301.35
"input/A/",7.5,51,105.4,1,0.7,130,186,57,177.19
"input/A/",11,55,84.6,2,1.8,154,186,35,385.71
"input/A/",10.5,41,175.1,1,5.1,102,186,41,251.22
"input/A/",6.9,42,246.9,1,0.7,120,186,40,282.5
"input/A/",13.3,18,290.2,2,3.1,344,186,56,373.21
"input/A/",14,39,278.8,1,5,42,186,7,1528.57
"input/A/",6.6,24,37.8,2,4.1,515,186,137,155.84
"input/A/",8.5,53,234.5,2,3.1,353,186,114,136.4
"input/A/",13.9,34,172.5,2,2.2,59,186,11,1013.64
"input/A/",11.5,28,316.1,2,1.7,305,186,74,231.76
"input/A/",9.3,32,329.3,2,3.7,467,186,101,223.27
"input/A/",12.8,53,121.8,2,3.2,59,186,9,1261.11
"input/A/",7.8,16,199.4,1,4.5,167,186,84,110.12
"input/A/",8.5,38,299,2,3,427,186,103,197.57
"input/A/",9.9,10,61.6,2,2.2,981,186,149,291.61
