"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"B"
"02/03/2021 15:51:39:248 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"6","17","input/B/","1","3034","1.4","75.5","14","14","88.2","3.9","6.5","64.3868798267362","1150","11.18","18.42","7.01","2195","97.82742445018337","130.02150359574694","2867.6072056417047","48.84447795859234","568.9012799676767","21"
"7","17","input/B/","1","6458","1.7","16.5","7","31","290.1","0.7","6.1","16.650979721057585","1325","5","9.29","5","3120","202.60689343877007","327.66813952747634","6282.959290845822","222.92770100554014","1549.0083121445357","4"
"10","17","input/B/","1","7933","0.6","19.5","5","37","112.8","3.3","7.5","0","0","0","0","0","3455","289.24321473372106","423.76180733751653","6234.076134436189","231.90930489122655","1137.2594319617408","0"
"9","17","input/B/","1","10728","5.1","27.4","2","52","22.8","3.6","9.1","0","0","0","0","0","3220","376.51162126663235","567.4001313524541","4914.291444276052","324.8929154544357","983.4691131917343","0"
"3","17","input/B/","1","3899","1.8","78","15","17","301.6","4.3","9.1","35.55489056087551","1990","20.62","57.88","10.35","3495","384.6909120107167","592.7700903446931","5363.2320392261545","238.3817573876452","1336.8941115169027","9"
"4","17","input/B/","1","9181","2","67.4","11","44","38.7","2.8","7.5","4.251555099012727","1195","7.07","47.67","6.04","2905","340.23532978596234","495.02730411402786","4076.6497683296006","201.60072781902437","618.2142110148736","2"
"5","17","input/B/","1","6991","0.5","55.9","10","33","17.2","3.1","10.7","0","0","0","0","0","3540","515.4427752097243","779.0138656055137","4875.672136356798","333.16934339048","907.6323975173289","0"
"15","17","input/B/","1","10221","4.7","78.8","7","50","120.9","4.9","6.4","4.509635974304069","460","5","15.35","5","1765","156.05812436444094","247.76790698337697","2752.9616034844344","105.89852781492625","814.6392637113228","1"
"1","17","input/B/","1","8439","5.2","35.7","9","39","219.3","1.9","9.9","0","0","0","0","0","4020","568.6213303604608","841.4322603451042","6828.68816193251","378.71444123374397","1559.5376959433347","0"
"11","17","input/B/","1","9325","0.9","52.5","17","45","160.2","1","11.1","0","0","0","0","0","3395","480.5083655083655","823.401745378728","5683.707986648589","381.7463545706289","1118.8771824073997","0"
"13","17","input/B/","1","6982","2.6","88.1","7","34","26","1.1","8.8","10.190655592659189","840","18.03","45.02","10.03","1955","364.42437234928","624.1439790388099","3070.615003298735","279.4535236464321","618.9783391926288","3"
"2","17","input/B/","1","6631","4.3","57.8","7","30","61.7","4.9","12.1","0","0","0","0","0","3855","530.4103551561831","752.5223911482117","5271.369239081612","277.66374752744167","616.5569471543763","0"
"8","17","input/B/","1","11278","2.6","74.8","8","53","273","1.2","11.8","0","0","0","0","0","5025","807.4582618639222","1188.0096494606678","7079.301139457816","421.24713671327515","1427.129007484182","0"
"12","17","input/B/","1","8356","0.8","28","7","39","248.7","0.3","9.6","0","0","0","0","0","4685","553.1959094417289","661.2051268472433","6029.349088894769","358.7016017261034","1557.8225622451014","0"
"19","17","input/B/","1","2104","2.8","85.4","22","9","48.2","2.2","8.5","64.21794871794872","1850","35","35.76","10.72","2675","174.563595129526","237.46222066849663","3452.563999347119","84.67715745051191","616.1355570347495","17"
"17","17","input/B/","1","10476","4.9","56.1","3","51","126.6","3","8.1","0","0","0","0","0","2680","306.1937380483489","446.64626182236594","4362.121247770961","180.89714190465304","1009.4103273319738","0"
"18","17","input/B/","1","9114","2.1","34.2","15","44","66.9","1.3","12.9","0","0","0","0","0","2805","351.1696769959482","646.8085185390307","4841.947244503076","314.36508293811903","618.022253877309","0"
