"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"C"
"02/03/2021 16:01:52:882 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"1","17","input/C/","1","4882","5.2","66.4","20","21","169.8","1.3","8.3","43.62581936899023","1515","30","27.68","11.8","3200","45.6453962753496","65.00876850572908","4512.126720592998","28.092525482198067","1466.661648918549","59"
"5","17","input/C/","1","10891","3.6","49.8","8","49","28.6","2.9","6.2","29.306760204081634","560","20.62","17.67","8.98","3105","55.95196320660777","81.0249505587696","4379.7509681071415","46.6302681443317","1634.2077889693737","32"
"9","17","input/C/","1","8102","5.1","86.9","12","35","0.4","5","7.5","46.13439744612929","591.3","47.17","25.34","20.4","3895","74.3845486782948","108.57426066379864","5505.460309623268","49.109103657771215","1537.0905352196419","83"
"4","17","input/C/","1","6585","2.8","32.9","5","27","101.1","0.9","10.2","26.70138689439051","2665","162.63","31.31","19.25","4260","136.20868242596055","200.17410519139855","6202.956612873333","98.98809694255917","1807.6046912449497","31"
"3","17","input/C/","1","6785","2","59.4","18","28","309","5.3","9","46.19311365782689","930","53.85","27.92","19.82","3820","119.54532601877833","177.05068132959755","5554.948544117158","78.01240200626113","1545.784184931109","76"
"7","17","input/C/","1","4209","3.3","44.1","4","14","81.1","3.1","12","20.915999387973685","3510","194.49","58.45","67.76","5045","180.85399359302698","264.4319606145406","7267.3041818593265","120.27108594106151","1738.995738817417","29"
"10","17","input/C/","1","6538","5.9","4.9","9","26","144.1","2.6","13.5","6.394310498788111","1530","195.58","191.44","78.4","5085","224.7090653111976","341.4657835345184","8682.999663553124","166.47163602768458","1998.112795486646","17"
"11","17","input/C/","1","3353","1.5","38.7","10","11","297.3","3.3","9.4","49.905986882779985","2020","90.14","28.18","21.19","4810","105.31960145616867","136.1045912888822","5893.191694165715","71.60325404799222","1646.1740944079102","100"
"12","17","input/C/","1","8055","0.4","35.7","9","34","48.6","1","8.6","32.643226671776205","2420","50","21.7","17.16","3900","130.03912177466694","205.1733666146685","5862.377632758112","117.092093697611","1812.9788260944251","49"
"6","17","input/C/","1","8131","3.5","47.9","4","34","346.4","1.4","10.8","21.534776777160374","1695","187.22","26.72","20.2","5415","269.71871251071514","394.3968173780502","7651.826137532818","171.70414931919495","1655.5184697937484","16"
"16","17","input/C/","1","2941","1.3","36","6","10","270.9","2.8","7.9","59.55892663649691","1050","83.22","33.15","25.74","2830","60.304989781555925","99.77707062628991","4354.362874678993","49.71856969051542","1934.4110615192967","114"
"2","17","input/C/","1","7448","2.5","21.7","18","30","36.4","2.4","13.2","5.080048475570863","3256.83","142.13","209.83","100.88","5430","357.54088525224813","516.8957920237056","7922.857033052776","307.7779622385123","1813.920798858361","10"
