"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"D"
"02/03/2021 16:26:21:378 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"4","17","input/D/","1","7375","2.7","27.5","8","34","151.9","5.3","6.6","84.19978058192385","1464.64","25","26.13","10.09","3005","35.39032128421813","48.39387641884051","4115.147128451671","30.64336098403395","1375.7975051565634","226"
"3","17","input/D/","1","6886","1.5","8.7","1","32","269.5","1","7.4","81.45178015168958","1610","79.06","23.31","11.86","3155","42.00088774801923","58.908707842959345","5058.755453302218","42.6315687826554","1659.4975284839531","237"
"6","17","input/D/","1","9760","2.9","4.9","6","46","315.6","2.5","7.7","72.65120179936336","1320","78.1","23.16","10.45","3290","55.007086519027084","78.10287286665508","5616.907367338977","54.48546569167364","2008.3546756609671","200"
"9","17","input/D/","1","2395","1.2","83.2","12","10","128.1","1","6.1","94.14506456832821","800","33.54","29.66","11.37","2805","33.05991925367496","44.05193999998613","3859.528172294934","23.535834662732942","904.1900839600049","272"
"1","17","input/D/","1","5270","0.6","60.9","20","23","277.4","5.2","10.9","77.50855860861098","2720","170.07","43.42","27.2","4060","107.46909480996263","153.31554683283457","5702.76409164505","71.0650657941416","1565.7037843539022","229"
"11","17","input/D/","1","5777","2.8","65.4","19","27","155.4","3","9.3","83.95718075590024","1858.98","42.43","32.05","12.57","2345","64.63307815366025","114.93008659747483","4138.698349067932","56.592224627427086","1429.1160962158651","224"
"2","17","input/D/","1","6024","1.1","63.3","12","27","325.5","3.2","11.7","71.5451259869027","3595","139.01","61.96","33.12","4635","150.78445249054207","214.76980869844255","6623.55886496432","91.75921497911514","1568.0687669309943","184"
"12","17","input/D/","1","8874","5.4","1.1","1","42","89.1","4.1","8.5","75.47061152503329","1520","35","25.03","10.13","1980","69.36886905327637","82.77639270433382","2623.6233495229726","67.65592248877044","2002.034528614599","202"
"13","17","input/D/","1","3494","1.5","44.1","3","15","115.1","5.1","8.1","91.05200514179613","1745","40.31","28.66","11.6","2950","42.70872469903766","60.00231097019174","4656.728828137802","33.640487657452","1391.7135039279494","261"
"15","17","input/D/","1","7265","2.2","72.9","23","34","97.8","0.5","6.4","82.60243393101462","630","32.02","29.17","11.73","1760","35.71145277618139","61.03360015735754","3137.8544872606585","29.736562899098068","1408.2294441087301","207"
"7","17","input/D/","1","10509","1.2","26.7","0","49","278","1.2","10.3","51.57542550093967","2835","101.24","32.28","14.19","3810","185.6145583525239","264.497879308317","5507.6220572910415","148.40879293907292","1577.9029235137991","116"
"10","17","input/D/","1","8585","1.3","28","12","39","209.6","0.3","10.7","54.58797034852558","2680","85.44","37.39","15.53","4430","191.75957429445677","273.3706293878527","6726.936393324096","145.87796877288238","1521.5866910334191","130"
"8","17","input/D/","1","6089","1.9","16.2","0","27","76.5","2.2","12","44.70910057144551","3595","216.45","73.34","26.63","4510","244.9199838665625","346.8597153944347","6744.993044936002","217.0792356865211","2006.3536588744116","112"
"17","17","input/D/","1","6432","2.6","13.2","23","29","163.1","5.1","9.5","76.38143159574142","2350","106.3","31.99","14.84","3650","82.50314826661624","127.81925009962507","6197.910401349823","78.48151158991323","1505.075478823711","209"
"16","17","input/D/","1","9238","2.9","50","14","43","12.9","4.5","10","70.51957723635802","2710","93.01","36.81","14.61","4385","115.76200788734474","174.21748116040533","6803.294147702509","81.13464394649549","1954.8550370821035","172"
"5","17","input/D/","1","7371","3.8","45.6","19","33","169.3","2.5","12.2","49.497949550362286","3555","109.66","78.47","25.89","4750","272.76570154300805","384.8387563969561","6879.976687055073","165.6682128364234","1509.298533358641","113"
"18","17","input/D/","1","3982","5.7","70.7","5","17","74.1","3.7","8.5","91.32195814613934","1820","53.15","29.94","12.49","2720","44.56785494846081","71.98284728284462","4598.49065393985","36.05562637086861","1679.5274370083891","255"
"22","17","input/D/","1","9847","1.1","70.6","13","46","292.5","3.7","9.2","77.41519420035708","3340","55.9","32.94","10.78","4255","79.51893057199183","83.95828428542892","4474.972044140492","40.34528108178479","1108.691498997896","206"
"21","17","input/D/","1","5465","5.2","46.1","19","24","28.9","3.5","9.5","81.11305139276945","3250","82.01","30.27","12.84","3780","76.79337276430972","94.07291165592895","5035.416660500275","49.4287419110504","1960.3983339817662","229"
"19","17","input/D/","1","8395","0.6","87","3","39","80.6","4.1","12.4","51.13057368696467","2275","365.14","64.08","26.82","2875","235.67946038026332","428.03548456812507","5023.687585065692","201.77968200539289","1680.6820734588887","110"
"24","17","input/D/","1","2585","3.4","61.5","6","11","118.6","1.9","7.1","92.13116071777961","1525","55.9","30.08","14.39","1895","37.14430928804637","63.04469818851703","3410.922343367619","30.739380506935362","1242.4662796250848","278"
"14","17","input/D/","1","6318","4.4","68","14","26","137.3","5","13.7","61.69223995783529","4600","85","103.73","24.87","6160","263.55776387615833","312.2136208641955","7393.425101467391","102.69792833510202","1427.1004788674559","124"
