"path.to.input","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"input/A/",3.1,29.2,7,44,46.7,3.7,7,24.92,1905,20,20.76,7.4,3400,87.27,129.41,5083.36,70.03,1365.88,52
"input/A/",0.1,60.7,20,43,303.2,5.4,8.3,21.77,2285,53.15,36.82,9.4,3165,157.46,255.39,5115.42,123.67,1575.64,41
"input/A/",0.7,57,16,32,211.1,5.2,6.2,41.47,1705.72,20,20.61,8.88,3205,91.73,155.96,5049.39,83.89,1738.28,98
"input/A/",1,50.4,23,13,208.2,4.9,11.5,14.83,2490,171.17,150.51,77.47,5145,403.36,702.39,7434.13,349.64,1811.82,43
"input/A/",5.9,55.3,17,30,14.8,2,11.1,6.08,3464.3,93.01,125.35,43.53,3464.3,197.88,287.14,4578.69,111.52,1116.9,13
"input/A/",5.5,82.4,4,33,206.8,2.2,8,38.4,1233.6,31.62,32.3,10.4,4345,187.02,326.1,5968.62,156.77,1738.57,94
"input/A/",1,59.1,0,48,4.4,3.9,6.4,26.76,1080,14.14,19.45,6.91,2450,60.29,88.68,3470.58,43.2,848.03,58
"input/A/",4,85.8,0,12,3,2.7,9.1,52.01,2010,93.01,42.95,21.42,2515,72.76,105.74,3385.93,45.22,803.72,158
"input/A/",0,62.5,20,28,158.8,4.6,12.9,3.12,2985,375,422.07,202.32,5765,544.69,835.51,8324.3,325.71,1898.28,7
"input/A/",2.7,30.1,18,39,41.1,4.6,7.1,29.7,1995,36.06,24.28,8.42,2620,87.64,130.01,3852.05,69.54,1172.07,68
"input/A/",5.8,25.3,3,30,348.2,5,7.7,32.54,2135,36.06,25.01,10.24,3285,74.58,134.4,5779.82,74.7,1507.26,75
"input/A/",4.1,17.1,15,53,220.6,5,13,3.75,3751.8,170.88,351.84,156.55,5255,404.84,897.68,10029.53,575.31,1814.86,5
"input/A/",4.6,77.7,7,18,213.9,0.6,10.6,21.38,1515,150,88.52,42.42,4385,322.72,615.26,6360.6,313.59,1799.92,48
"input/A/",5.9,69.1,22,38,17.4,2.1,6.1,34.75,781.1,15,21.55,7.58,1640,41.07,66.53,2519.83,33.44,605.6,76
"input/A/",2.2,66.7,19,17,295.7,1.6,7.2,53.63,1745,86.02,28.21,13.54,1985,66.2,149.53,4049.98,90.87,1575.33,152
"input/A/",5.3,24,18,9,245.2,4.8,8.4,54.23,2150,176.71,35.46,30.53,3315,106.71,262.28,6056.47,185.41,1817.57,166
"input/A/",4.4,44.5,2,14,345.1,0.3,9.6,29.2,1455,95.52,45.47,29.46,2455,85.04,164.65,4115.4,90.46,1142.27,85
"input/A/",4.7,75.5,5,56,188.3,3.5,12.7,0,0,0,0,0,5270,596.28,982.79,7516.6,413.33,1738.14,0
"input/A/",0.1,82.7,22,34,321.3,0.2,13.6,0.66,2900,28.28,265.13,26.64,4700,277.78,412.07,6334.44,153.56,1568.76,2
"input/A/",1.3,20.7,8,13,274.9,0.4,11,7.29,3290,350.46,183.2,102.59,4640,300.69,481.94,7137.83,301.87,1811.17,24
"input/A/",0.3,17.9,9,52,150.7,2.8,8.1,9.17,2910,11.18,20.03,6.77,4700,269.4,407.67,8331.34,245.08,1898.89,11
"input/A/",1,82.4,0,51,16.4,0.1,8,32.04,3060,15.81,43.59,8.76,5550,143.23,155.07,5876.79,50.17,996.11,76
"input/A/",3.3,67.7,12,45,43.7,5.4,9.8,6.93,1040,81.39,68.17,24.77,1945,134.93,238.12,3111.37,108.36,958.3,11
"input/A/",1.4,62.4,12,26,292.5,3.1,12.9,5.79,4215,92.2,262.59,48.87,7930,435.43,448.56,8257.83,137.74,1605.97,12
"input/A/",5.9,63.3,18,50,249.8,1.5,9,13.55,1595,170.07,51.36,16.62,3010,237.68,559.7,5687.75,339,1814,23
"input/A/",4.8,14,12,34,139.4,1.8,13.6,0,0,0,0,0,4865,441.21,467.96,5146.19,379.48,1902.02,0
"input/A/",2,82.6,17,55,282.1,2.5,11,4.15,4309.08,43.01,143.88,20.28,6670,400.77,477.02,8023.1,134.8,1563.49,6
"input/A/",1.3,53,13,25,102.8,3.7,7.4,44.8,1725,26.93,32.28,10.94,2525,86.85,161.03,4538.61,88.19,1657.24,116
"input/A/",2.8,59.1,16,22,260.9,3.1,8.7,39.64,1920,302.08,50.65,33.12,2840,148.83,343.08,4904.84,210.04,1797.53,87
"input/A/",0.6,58.9,14,19,23.4,5.3,9.3,33.12,1650,93.01,52.23,25.92,2985,101.04,154.07,4065.54,68.99,823.55,88
"input/A/",0.7,25.6,16,32,136.9,1.5,8.2,33.73,1960,243.31,49.64,20.07,3050,155.31,314.69,5869.49,196.26,1898.93,94
"input/A/",2.6,75.2,7,18,194,2.5,12.1,20.11,4785,111.8,201.23,41.79,6840,395.09,446.03,8165.74,124.81,1668.16,57
"input/A/",1.7,78.5,23,54,104.4,1.5,9.4,13.41,2595,43.01,76.21,10.88,2900,241.4,401.25,5015.72,173.65,1526.68,30
"input/A/",0.7,61.3,14,40,213.9,3.5,11,2.81,835,149.83,112.16,63.7,3320,365.45,913.77,5693.12,566.15,1810.53,4
"input/A/",4.1,15.3,5,33,31.8,4.1,12.2,5.48,4290,205.91,316.95,74.58,5430,226.64,367.79,9472.07,173.77,1529.23,16
"input/A/",2.2,42.3,4,46,88,4.4,11.8,3.03,3460,95,255.87,54.5,5520,341.76,462.93,8064.46,182.48,1844.47,9
"input/A/",4.5,15,12,34,8.5,1.2,11.7,0.99,3180,205.55,412.67,100.37,5120,212.17,363.85,9198.21,172.81,1489.12,3
"input/A/",2.3,29.2,2,7,196.6,4.1,9.5,35.16,3030,176.78,49.92,34.06,4275,230.16,346.1,6666.64,198.54,1883.85,125
"input/A/",2.5,79.8,12,15,153.5,4.9,12.8,25.05,2350,395.03,209.39,140.65,4875,367.03,609.77,7024.7,257.02,1903.75,62
"input/A/",2.4,88.7,12,41,351.7,4.7,10,9.91,1865,68.01,86.43,31.25,3045,157.56,236.79,4142.21,91.35,884.14,24
"input/A/",4.8,25.9,18,18,223.9,0.1,10,10.21,2680,171.17,90.82,58.25,4665,331.14,525.36,7676.4,314.94,1813.38,20
"input/A/",3.9,73.3,17,55,163.4,0.6,10,5.49,2828.21,55.23,110.55,24.81,5360,400.94,562.91,7313.45,197.04,1886.34,10
"input/A/",4,58.1,11,54,38.2,2.3,10.8,0.72,1085,29.15,115.1,25.76,2480,167.09,279.93,3803.76,119.76,955.3,2
"input/A/",5.8,54.4,4,38,232.9,3.4,10.2,3.13,2035,43.01,72.04,20.43,5495,410.25,578.9,7417.69,241.82,1798.76,4
"input/A/",0.5,23.2,2,38,340.6,2.1,14,0,0,0,0,0,5185,195.17,372.95,9655.62,187.59,1574.69,0
"input/A/",1.8,34.1,8,23,117.9,3.4,7.9,44.6,2300,215.87,39.76,13.48,3190,113.76,192.02,5406.88,110.21,1892.86,129
"input/A/",5.2,22.2,13,22,323.8,1.1,11.7,6.35,3180,140,236.99,51,4435,265.48,433.15,6822.91,227.05,1667.6,16
"input/A/",1.4,65.2,1,41,15.6,3.2,6.8,30.83,815,35.36,21.33,8.86,1475,52.5,90.83,2439.44,45.69,710.16,74
"input/A/",5.1,43.8,1,17,113.7,1.8,12.2,19.39,3205,243.31,204.13,56.38,4750,303.79,453.31,7426.11,200.28,1896.93,65
"input/A/",3.8,87.3,20,19,218,5.5,10.9,17.41,790,203.04,81.64,49.32,3135,312.78,700.05,5602.86,399.87,1803.41,35
"input/A/",0.5,75.7,18,47,3.6,2.2,12.7,0,0,0,0,0,2920,184.98,290.13,4326.91,113.8,798.08,0
"input/A/",5,32.5,9,22,322.7,0.3,10.8,6.51,3275,70.71,182.66,34.61,4360,249.92,384.35,6205.68,191.38,1671.6,19
"input/A/",3.8,82.5,19,21,33,1.5,12.5,9.54,1515,137.93,145.02,72.91,2355,163.71,256.2,3402.59,99.2,762.76,21
"input/A/",2,72.3,1,52,346.3,1.5,11.7,3.25,4460,55.23,207.31,27.61,7585,411.66,423.76,8000.65,115,1500.45,6
"input/A/",4.1,32.3,5,25,64.6,1.6,8.6,27.73,3150,65.19,53.34,14.78,3290,136.91,201.33,5069.77,105.78,1524.27,78
"input/A/",5.8,2,23,38,79.3,1,11.8,11.45,4411.87,206.16,201.66,59.77,6095,230.36,428.11,12014.07,231.49,1694.95,32
"input/A/",2.9,14.7,3,21,177.9,2.9,8.6,23.36,2725,72.8,30.33,12.56,3875,240.78,359.75,6851.81,247.82,1896.43,58
"input/A/",1.4,2.9,13,46,308.9,1.4,8.1,12.06,1545,15.81,20.11,7.96,2600,222.96,265.66,3326.68,219.96,1895.67,14
"input/A/",6,29.6,13,18,49.2,5.3,8.9,22.64,3475,70,46.72,18.62,4325,176.87,230.19,5923.48,117.09,1618.11,43
"input/A/",3.3,46.2,17,9,215.9,1.3,12,18.82,2483.04,528.51,139.72,103.09,4315,344.64,708.88,7387.07,405.3,1814.58,62
"input/A/",5.5,51.6,8,40,345.1,2.8,8.8,13.08,3745,25,39.63,10.17,5395,235.94,257.19,6027.24,107.75,1546.69,20
"input/A/",2,75.8,12,27,242.7,3.7,9.3,24.97,2655,75,50.05,14.99,4725,258.66,401.91,6804.47,171.9,1780.12,55
"input/A/",4.8,52.9,21,31,102.2,3,10.8,13.05,2010,134.63,112.12,29.02,2585,237.21,457.33,4804.07,235.03,1724.41,25
"input/A/",2,6,4,29,335,3.8,6,43.02,1385,15.81,18.81,8.93,3315,59.36,88.68,6522.71,57.62,1747.81,107
"input/A/",1.2,75.4,11,35,17.6,0.2,12,7.74,4610,93.01,224,48.5,5335,273.31,336.17,6275.73,97.18,1086.33,19
"input/A/",4.7,35.8,14,20,68.3,3.8,10.7,20.46,2249.26,93.01,115.18,30.57,3490,170.04,285.38,5760.58,141.62,1405.4,58
"input/A/",4.5,60.1,4,41,131.4,1.6,12.7,0.41,3130,7.07,246.08,6.04,5840,506.3,678.22,7886.59,224.19,1900.04,2
"input/A/",0.5,68.3,19,32,330.2,1,9,20.9,2205,60.21,38.43,12.67,2845,126.3,213.23,4194.1,101.24,1310.43,38
"input/A/",4.5,8.6,0,18,221.6,4.8,11.5,1.89,2045,176.78,334.21,154.31,4290,383.4,557.42,6854.74,429.6,1891.39,6
"input/A/",1.7,22.2,5,46,79,5,8.3,21.85,2005,58.31,47,12.61,3285,122.34,233.16,6014.22,138.62,1572.71,51
"input/A/",0.6,21.5,4,25,41.9,5,11.7,8.75,3085,217.08,275.61,59.6,4650,218.04,346.62,7905.97,164.71,1433.99,29
"input/A/",3.4,65,0,38,303.1,1,12.6,3.06,3145,86.02,264.48,45.54,3660,268.3,493.82,6156.86,242.79,1583.28,9
"input/A/",4.8,82.2,3,47,356.3,2.4,10.5,1.53,1180,80.78,69.15,34.55,2650,149.69,249.68,4042.5,106.57,807.72,3
"input/A/",4,73.8,23,30,55.7,2.8,6.5,48.38,1345,30,24.84,9.63,2265,51.67,76.48,3166.57,35.81,942.88,127
"input/A/",4.1,58.8,14,40,55.6,0.3,10.7,6.05,2809.61,55.23,139.04,27.95,4800,274.91,340.42,6112.93,115.05,1381.89,11
"input/A/",5.6,49.5,12,12,208.7,4.1,6.7,62,2592.41,30,22.97,10.32,5275,67.98,71.88,5809.4,41.17,1419.49,185
"input/A/",4.2,3.7,22,42,311.6,3.6,13.1,5.58,3175,86.02,224.41,55.07,6195,256.15,538.64,11992.92,306.83,1644.53,11
"input/A/",3.5,10,13,23,242.5,3.2,10,8.63,2800,232.65,149.59,90.94,4570,291.62,528.58,8696.02,378.76,1816.86,17
"input/A/",2.1,50.4,17,54,198.6,3.8,9.1,3.92,2040,15.81,46.33,10.92,5130,391.7,564.83,7615.21,244.81,1805.74,4
"input/A/",0.2,14.9,9,44,251.5,2.7,11.4,0.88,3600,165.53,465.92,163.39,4610,356.58,602.55,8081.04,403.12,1816.09,2
"input/A/",3.2,66.9,1,40,103.9,3,12.5,4.31,2250,170,364.05,149.77,3070,336.88,620.98,5325.52,294.49,1642.61,9
"input/A/",0.1,40.8,22,19,218.9,2.8,12,0.87,2850,171.17,393.14,144.35,6005,476.1,634.12,7946.37,285.91,1813.73,4
"input/A/",3.6,73.1,14,53,110.5,1.8,8.9,18.98,2440,25,58.6,9.08,3410,214.88,371.83,5439.48,169.97,1794.92,42
"input/A/",1.4,13.5,9,39,251.7,2.4,9.9,0,0,0,0,0,3775,338.2,369.18,4150.07,310.83,1886.5,0
"input/A/",1.8,20.1,14,51,340.8,1.3,13.8,1.38,2810,55.23,334.82,38.87,4985,235.69,418.77,9394.56,203.62,1580.15,4
"input/A/",5,86.3,10,25,347,4.2,9.3,30.31,1380,85.44,48.45,32.01,2125,84.62,158.24,3236.19,79.27,804.44,71
"input/A/",3.8,60.4,23,11,32.3,1.7,10.6,34.8,3144.05,137.93,91.54,36.02,3530,140.81,189.31,4625.3,75.24,985.3,109
"input/A/",4.2,51.7,13,24,178.7,0.5,8.4,33.31,1800,47.17,32.83,11.33,3855,211.49,399.08,5978.07,213.5,1810.61,90
"input/A/",3.2,63,13,18,224.9,3.1,6.7,56.39,1326.52,35.36,23.07,10.55,3150,82.02,155.91,5067.76,88.64,1785.25,155
"input/A/",5.4,26,10,11,350.1,0.1,13.1,5.52,3165,269.07,149.36,74.47,4730,179.61,323.98,8343.58,159.49,1501.79,22
"input/A/",0.9,43.2,23,29,34.5,5,7.7,35.73,1310,50,29.58,11.81,2760,75.76,125.43,4195.16,64.45,979.03,91
"input/A/",2.9,33.7,2,40,28.6,3,8.3,18.88,1915,43.01,46.92,16.32,2950,127.15,197,4431.67,96.59,1083.18,42
"input/A/",5.5,70.7,22,8,323,4.5,12.4,32.31,4275,155.08,133.69,42,4995,201.53,272.77,6682.58,103.19,1571.45,87
"input/A/",1.9,13.7,21,48,27.4,2.6,10.5,1.02,3165,161.94,314.41,74.8,4955,271.66,401.87,7998.08,199.35,1679.58,3
"input/A/",0.7,45.5,9,15,200.8,0.6,13.3,5.16,2720,985.05,239.44,250.67,3800,439.12,1044.28,6874.02,634.28,1805.81,17
"input/A/",2.8,8,22,28,306.8,2.4,10.3,0.97,2000,30,59.81,30,5530,303.1,459.53,10936.34,288.41,1816.04,1
"input/A/",5.7,13.6,19,50,323.1,0.9,8.2,14.09,2335,50,37.84,14.9,3690,155.11,276.4,6331.9,155.67,1644.08,19
"input/A/",0.8,62.7,8,38,98.2,2.3,12.2,4.88,2965,134.63,209.88,37.48,4760,342.29,503.53,6686.39,190.36,1741.9,18
"input/A/",1.3,11.8,19,25,131.1,0.9,11.8,11.67,3745,702.57,259.39,129.97,4905,339.01,572.6,9392.72,346.93,1901.86,37
"input/A/",3.1,66.2,5,16,136.8,3.8,12.5,20.88,4980,111.8,211.3,46.39,6220,356.43,405.55,7550.15,121.32,1881.56,60
"input/B/",5.2,35.7,9,39,219.3,1.9,9.9,0,0,0,0,0,4020,568.62,841.43,6828.69,378.71,1559.54,0
"input/B/",4.3,57.8,7,30,61.7,4.9,12.1,0,0,0,0,0,3855,530.41,752.52,5271.37,277.66,616.56,0
"input/B/",1.8,78,15,17,301.6,4.3,9.1,35.55,1990,20.62,57.88,10.35,3495,384.69,592.77,5363.23,238.38,1336.89,9
"input/B/",2,67.4,11,44,38.7,2.8,7.5,4.25,1195,7.07,47.67,6.04,2905,340.24,495.03,4076.65,201.6,618.21,2
"input/B/",0.5,55.9,10,33,17.2,3.1,10.7,0,0,0,0,0,3540,515.44,779.01,4875.67,333.17,907.63,0
"input/B/",1.4,75.5,14,14,88.2,3.9,6.5,64.39,1150,11.18,18.42,7.01,2195,97.83,130.02,2867.61,48.84,568.9,21
"input/B/",1.7,16.5,7,31,290.1,0.7,6.1,16.65,1325,5,9.29,5,3120,202.61,327.67,6282.96,222.93,1549.01,4
"input/B/",2.6,74.8,8,53,273,1.2,11.8,0,0,0,0,0,5025,807.46,1188.01,7079.3,421.25,1427.13,0
"input/B/",5.1,27.4,2,52,22.8,3.6,9.1,0,0,0,0,0,3220,376.51,567.4,4914.29,324.89,983.47,0
"input/B/",0.6,19.5,5,37,112.8,3.3,7.5,0,0,0,0,0,3455,289.24,423.76,6234.08,231.91,1137.26,0
"input/B/",0.9,52.5,17,45,160.2,1,11.1,0,0,0,0,0,3395,480.51,823.4,5683.71,381.75,1118.88,0
"input/B/",0.8,28,7,39,248.7,0.3,9.6,0,0,0,0,0,4685,553.2,661.21,6029.35,358.7,1557.82,0
"input/B/",2.6,88.1,7,34,26,1.1,8.8,10.19,840,18.03,45.02,10.03,1955,364.42,624.14,3070.62,279.45,618.98,3
"input/B/",5,20.3,4,32,191.8,4.6,13.1,0,0,0,0,0,5500,586.84,1025.01,9197.05,557.22,1562.55,0
"input/B/",4.7,78.8,7,50,120.9,4.9,6.4,4.51,460,5,15.35,5,1765,156.06,247.77,2752.96,105.9,814.64,1
"input/B/",5.7,29.1,5,8,225.5,2.5,8.5,27.62,2440,65.76,27.24,18.14,3630,321.94,508.41,6179.36,246.06,1557.43,11
"input/B/",4.9,56.1,3,51,126.6,3,8.1,0,0,0,0,0,2680,306.19,446.65,4362.12,180.9,1009.41,0
"input/B/",2.1,34.2,15,44,66.9,1.3,12.9,0,0,0,0,0,2805,351.17,646.81,4841.95,314.37,618.02,0
"input/B/",2.8,85.4,22,9,48.2,2.2,8.5,64.22,1850,35,35.76,10.72,2675,174.56,237.46,3452.56,84.68,616.14,17
"input/B/",2.9,32.2,1,8,221,1.1,11.5,0,0,0,0,0,5310,690.44,876.96,7279.94,385.59,1559.66,0
"input/B/",3.8,0.1,4,19,11.1,0.4,13.2,0,0,0,0,0,2855,529.59,708.09,4340.44,493.17,1561.39,0
"input/B/",4.8,30.1,11,44,356.5,3.7,11.4,0,0,0,0,0,3450,379.2,770.72,6097.45,427.99,1005.58,0
"input/B/",5.9,57.4,6,56,275.2,4.6,9.7,0,0,0,0,0,5080,659.32,848.81,7080.72,294.49,1561.87,0
"input/B/",4,21.9,20,29,165.2,1.7,12.3,0,0,0,0,0,5030,626.36,681.92,5562.8,429.67,1564.94,0
"input/B/",5.8,88.1,5,36,298.6,3.1,8.5,27.59,1465,11.18,46.6,6.72,3340,403.57,615.04,4969.48,236.98,1338.9,6
"input/B/",0.6,65.5,18,46,286.7,2.8,11.3,0,0,0,0,0,3430,695.87,1201.62,5454.91,542.93,1337.32,0
"input/B/",4.6,84,18,44,306.6,5,6.7,18.7,1795,5,24.99,5,4370,243.66,315.99,6242.06,107.83,1324.39,4
"input/B/",5.9,81.3,21,47,148.7,0.5,11.3,0,0,0,0,0,2165,447.49,780.37,3611.02,347.38,1014.69,0
"input/B/",1.3,12,21,55,112.3,1.5,10.9,0,0,0,0,0,4760,434.36,689.83,8954.35,356.7,1117.06,0
"input/B/",3.1,64.4,23,37,329.6,1.3,13.9,0,0,0,0,0,2825,519.18,988.97,4469.15,492.12,1323.01,0
"input/B/",5.9,54,20,14,145.9,3.6,13,0,0,0,0,0,6490,808.78,878.44,7566.89,252.63,1419.83,0
"input/B/",0.5,38.8,11,26,134.4,0,8.4,9.22,1690,7.07,32.54,6.38,3255,311.5,468,4932.57,215.9,1029.15,3
"input/B/",0.2,74,23,31,270.4,0.4,9.3,0,0,0,0,0,2415,487.64,918.84,4479.12,445.29,1352.68,0
"input/B/",3.2,27.1,12,49,79.7,5.1,9.5,0,0,0,0,0,3725,413.86,576.33,5495.64,290.12,1004.74,0
"input/B/",3.7,27.3,1,42,282.6,4.5,13.6,0,0,0,0,0,5150,748.33,1082.62,7778.81,546.37,1559.35,0
"input/B/",5,89.4,5,17,297.9,0.3,7.6,66.59,2080.78,25,41,9.03,4490,185.02,203.58,5488.35,56.33,1303.33,20
"input/B/",4.7,5.1,7,30,335.3,1,9.8,0,0,0,0,0,3350,435.85,572.16,5046.47,437.28,1562.85,0
"input/B/",5.6,80.8,1,35,278.6,2.4,13,0,0,0,0,0,6085,969.71,1257.51,7856.76,351.56,1440.2,0
"input/B/",1.5,8.2,20,15,317.8,2.2,11.2,0,0,0,0,0,4215,421.92,847.16,8454.6,511.53,1336.92,0
"input/B/",0.8,60.6,3,13,142.1,4.7,12.6,0.8,1625,110.11,263.44,110.11,3485,543.65,798.42,5072.14,297.47,1022.03,1
"input/B/",1.5,70.6,3,30,233.8,2.1,8.4,14.04,3075,7.07,69.64,6.55,5335,402.37,402.37,5335,120.04,1227.61,4
"input/B/",1.7,59.4,7,50,99.1,1.2,8.1,0,0,0,0,0,4890,432.03,457.58,5479.79,153.75,996.1,0
"input/B/",0.6,14.1,0,45,37.6,0.7,12,0,0,0,0,0,3500,344.87,684.8,6375.29,364.15,767.28,0
"input/B/",3.6,69.7,5,38,252.3,2.6,9.6,4.4,2655,7.07,102.44,7.07,6015,597.21,714.06,7713.65,198.19,1555.48,1
"input/B/",5.5,34.9,8,16,76,5.2,10.4,0,0,0,0,0,5250,555.42,610.63,5857.16,294.33,1559.78,0
"input/B/",4,89.9,20,41,10,0.5,13.8,0,0,0,0,0,3805,662.23,1008.89,5215.72,373.51,730.91,0
"input/B/",3.1,58.9,11,26,61,4.2,7,32.29,1510,11.18,25.67,6.03,3480,217.78,248.92,4147.84,95.95,747.35,10
"input/B/",0.9,30.2,5,39,299,2.1,8.3,0,0,0,0,0,2815,402.35,760.03,5105.79,439.85,1342.02,0
"input/B/",3.4,23,20,45,330.3,4.1,7.4,0,0,0,0,0,3325,318.28,482.38,5513.9,313.13,1334.86,0
"input/B/",4.2,88.2,8,27,156.4,5.2,10.1,0,0,0,0,0,1945,394.69,694.33,3445.89,312.67,1015.32,0
"input/B/",2.4,62.3,0,10,281,2,8.8,42.63,2670,45.28,53.76,13.45,4105,319.11,408.89,5645.32,147.09,1504.89,14
"input/B/",6,20,13,9,171,5.1,6.5,69.99,1940,18.03,14.81,7.62,2755,86.04,148.35,5135.54,74,1349.53,23
"input/B/",4.6,23,13,23,339,0.4,7.7,28.94,1700,11.18,20.82,6.55,2420,213.27,451.46,4616.02,289.93,1308,8
"input/B/",4.6,54.5,21,33,215.3,4.8,11.5,0,0,0,0,0,2895,589.57,1069.69,5411.75,512.25,1559.18,0
"input/B/",5.7,2.9,14,46,216.9,3.9,13.4,0,0,0,0,0,6770,599.77,1174.47,13620.53,685.65,1558.53,0
"input/B/",1,44.2,14,32,338.4,1,6.7,18.55,1480,7.07,18.38,5.83,2605,232.23,348.93,3874.49,185.61,1325.11,5
"input/B/",1,38.4,8,14,50.8,4.3,10.1,0,0,0,0,0,4180,415.59,630.94,5825.42,300.78,763.45,0
"input/B/",2.6,25.4,17,30,358,1.6,6.3,10.4,1255,5,8.27,5,3305,219.08,247.88,3951.95,174.74,1458.28,3
"input/B/",1.5,47.9,23,24,329.2,3.4,6.5,40.85,1975,7.07,18.84,5.94,2320,200.54,330.44,3595.65,179.86,1307.59,11
"input/B/",1.3,40.4,21,38,165.9,3.1,10,0,0,0,0,0,6175,586.74,641.57,6902.41,261.24,1551.41,0
"input/B/",0,36.1,20,7,113.8,2.1,6.7,70.94,1045,65.76,17.12,10.87,2145,74.95,128.29,3795.84,63.54,862.47,27
"input/B/",1.3,78.3,3,35,37.3,3.8,6.4,20.34,950,7.07,20,5.52,2535,184.17,263.48,3384.25,106.25,618.8,4
"input/B/",4.8,42.7,10,14,237.8,0.6,9.4,12.34,1040,7.07,35.46,6.04,2685,386.22,750.17,4969.37,393.02,1560.98,2
"input/B/",1.6,26.9,10,41,2.6,4.9,11.7,0,0,0,0,0,4685,466.41,700.05,7279.12,386.32,1327.95,0
"input/B/",0.2,88.2,11,23,240.8,2,6.2,63.76,810,20.62,20.09,7.98,2085,95.77,141.69,3596.77,53.61,1555.79,18
"input/B/",0.8,18.5,12,15,17.7,5,6.5,49.77,1620,11.18,10.08,5.86,3690,155.79,198.62,5357.48,153.54,1314.87,12
"input/B/",3.3,89.9,18,22,316.4,0.6,7.1,59.48,2179.41,14.14,28.51,6.71,3190,184.74,253.62,4368.78,93.69,1317.34,15
"input/B/",1.3,62.5,15,46,262.8,4,11.8,0,0,0,0,0,3325,685.26,1183.98,5526.03,524.82,1528.86,0
"input/B/",3.1,12.4,1,36,337.8,0.9,8.2,0,0,0,0,0,3970,347.34,516.81,7358.12,363.78,1333.62,0
"input/B/",3.9,68.8,13,41,171.6,0.1,11.5,0,0,0,0,0,1975,485.72,960.9,3744.11,494.6,1075.04,0
"input/B/",0.5,88,10,42,1.9,3.4,11.1,0,0,0,0,0,1970,431.68,830.08,2993,411.49,709.97,0
